Samples	CBSX__sigmatrix_HNSCC_Fig2cd__B_cells	CBSX__sigmatrix_HNSCC_Fig2cd__T_cells_CD8	CBSX__sigmatrix_HNSCC_Fig2cd__T_cells_CD4	CBSX__sigmatrix_HNSCC_Fig2cd__Macrophages	CBSX__sigmatrix_HNSCC_Fig2cd__Dendritic_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Mast_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Myocytes	CBSX__sigmatrix_HNSCC_Fig2cd__CAFs	CBSX__sigmatrix_HNSCC_Fig2cd__Endothelial_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Malignant_cells
TCGA-OR-A5L3-01A	0	0	0	0.08049351355936939	0.07307184392133206	0	9.296506446292e-5	0.242958042209568	0.6033836352452676	0
TCGA-OR-A5JQ-01A	0	0	0	0.08635516442149391	0	0	0	0.5463184450058256	0.3673263905726803	0
TCGA-OR-A5KO-01A	0	0	0	0	0.20232939519324253	0	0	0.34760157440722717	0.45006903039953017	0
TCGA-OU-A5PI-01A	0	0	0	0.00803881720657167	0.0988869445314278	0	0	0.5269012826758582	0.3661729555861422	0
TCGA-OR-A5J9-01A	0	0.00423305105742238	0	0	0.0478851876402516	0	0	0.1530716521864897	0.7948101091158363	0
TCGA-OR-A5LL-01A	0	0	0	0.03116653796149785	0.05135420850154126	0	0	0.5323148512210378	0.3851644023159232	0
TCGA-OR-A5LN-01A	0	0.00620653156742988	0.01413806233753368	0.1282218256868964	0.13736939568037573	0	0	0.15621140157666222	0.5578527831511021	0
TCGA-PK-A5HA-01A	0	0	0	0.31676797344211716	0.00992985259431691	7.534371369564e-4	0	0.19696348473996125	0.47558525208664826	0
TCGA-OR-A5LG-01A	0	0	0.00501243784026567	0.14428507769224055	0.01237443004892131	0	0	0.3900486496363385	0.4289554012521938	0.01932400353004026
TCGA-OR-A5L4-01A	0	0	0	0.02822621607268968	0.0032871278096339	0	0	0.3373085870351216	0.6311780690825548	0
TCGA-OR-A5L9-01A	0	0.01048292867646137	0.03061794099833509	0.09003969482629968	0	9.9573405309195e-4	0	0.33937400555833697	0.528489695887475	0
TCGA-OR-A5JP-01A	0	0	0	0.01483070210185238	0.01604055107012822	0	0	0.3908230300978901	0.5783057167301292	0
TCGA-OR-A5L5-01A	0	0.0031311136587183	0	0.1394190218158314	0.01236270523154518	0.00746937672963842	0	0.5864080407769028	0.2512097417873639	0
