Gene	cancer	CD4	CD8	Mono	M0	M1	M2	B	Neu	NK
ACPP	3.10078994808402	0	0	8.25166877866241	1.41530180029262	3.26492993479122	1.77033763879447	0	16.8804040849925	0
ACSL1	58.2465633651519	0	0	5.49579230364535	16.1332307673302	39.0068263906183	14.5925684835076	0.906931793060838	43.8308704191435	0
ACSL6	0.465609432698684	109.943147256315	88.9154368597804	0	0	0	0	0	0	0.496252302610684
ACSM5	0.717513943972417	0	0	0	1.61543727191046	0.494087222686752	4.40501466869885	0	0	0
ACVR2A	6.82957375294282	36.8380131301984	22.7988299640462	27.7241109311689	28.1174813932428	41.1676145855857	11.3972471960677	7.66660350845681	0	47.1016967287636
ADAM19	6.31543067380261	1.36311715744493	4.10710339961377	5.6995302637141	0	0	0	55.4328687301466	22.9110791764826	0
ADAM28	5.93817365094019	0.167204004602792	0	6.38724165288367	10.404338312018	11.2056632967015	2.21807040949315	288.009904924023	5.43300266874363	5.29659283034199
ADAMDEC1	2.86045417690538	0	0	2.21648399144437	73.8727214641191	158.756426076974	0.50281972923828	0.330954816228237	0	0
ADAMTS1	16.6953801658064	0	0.821420679922754	0	0	0	0	0	0	8.19301539681833
ADAMTS10	6.08264480996521	41.073034420482	28.7230367410921	1.64873769109361	1.54573067902482	0.736997127047043	0	0.453465896530419	0	60.4388272650324
ADAMTS15	1.88112294593187	0	0	0	2.11892188894495	0.343380831690876	45.1403136623558	0.172151766242691	0	0
ADAMTS17	1.47241181729688	23.4449365327496	11.3994149820231	1.4917150538466	0	0.192674440695	0	0	0.768435750481963	6.46098474142298
ADAMTSL4	10.514976089314	0	0	57.3132625951587	1.23197416413591	3.14868877942875	20.4480023223567	0	31.109832623192	0
ADAP2	7.46647477282822	0	0	30.4623916259199	35.9817159519645	55.1498433638782	28.3679531319388	2.66639291699386	0.458786567516551	0
ADARB1	9.05803030669756	15.6572861457249	25.4640410776054	1.34468245323867	10.8469649415085	11.3392038798968	6.78629428204547	62.1248278246674	0	9.06388312825805
ADCY1	1.11172004193516	0	0	0	5.1660747423499	1.91630953328704	99.7421178555382	0	0	0
ADCY3	42.0545750837772	49.6457884620396	45.5976599280925	19.8829482435656	625.902283657503	509.214956155254	410.683781515763	173.315539604601	0.293978159752259	7.65621746961376
ADM	35.2835521695811	0.172235737735353	0	149.26213258902	18.5289907508551	91.5469342730265	23.6325272741992	0	463.005916876956	0
ADM2	4.64332082772437	1.24086233548032	0.786932513454579	0	14.0820913370711	0.050235463665292	0.33521315282552	0.22673294826521	0.700061781932022	0.496252302610684
ADORA2B	3.19308236203463	0	0	12.7744833057673	45.4609847930663	15.0667885446994	80.6187632545376	0.22673294826521	0	0
ADORA3	5.22751963316665	0.387389688748011	0	4.07411504736786	8.53796905209389	2.80989677020023	32.2203912115848	0.516455298728074	3.18771115748911	0
ADRA2B	0.494042785653862	0.164776460336068	0.821420679922754	47.4960855309508	546.69288650566	72.3773235503702	577.069442589133	0.330954816228237	0.142924351216106	0
AEBP1	146.018524588765	13.38082110846	1.7705981552728	0.313393465182143	0	0	0	24.0950395980071	0	4.75979490313743
AFAP1L1	5.26400136331162	0.256750615559601	0	0	112.693159952003	34.1686008810881	271.537689934793	0.165477408114119	0	0
AFF3	1.00978150169325	16.207293832262	0.821420679922754	3.6405398192444	0.167828205678165	0	2.09413826268661	277.680798949461	0	0.496252302610684
AGMAT	1.9358850321195	39.3087540397052	15.3451840123643	0	0.167828205678165	2.29245038211028	0.590112546264824	6.12178960316066	0	1.94446358584885
AHNAK	109.33903145422	6.06195356646018	206.998011340534	57.9777910586964	105.412393489427	57.3763411176935	19.6212421633054	21.6775404629495	0	171.312070888353
AIFM3	2.05859480636287	0.169185540821263	0	5.64108237327857	1.52351392189396	0.745264541013211	1.75110821802091	0.22673294826521	0.284899423830199	0
AK1	80.075986788376	67.7582230550853	85.4277507119664	8.14823009473571	152.005921204398	51.1119262305437	123.088793440135	13.7721412994153	0	77.5335432917333
AK4	22.7419015855208	0.86065801280209	0.821420679922754	2.68936490647734	138.526499755962	124.47339175326	96.2140190689903	0.165477408114119	1.07217300537287	0
AK5	0.636738141904714	103.751067419015	6.09872697927298	0.863624504858555	14.8745310845626	5.15541430083449	1.51243318971811	0	0	15.0594563841801
AK8	2.15334955483413	0.081174458034672	0	0	12.7556699696055	43.2278901301665	15.732195245353	6.57137443582012	0	0
AKAP2	17.1669376690487	17.1661654918259	22.7988299640462	1.29437941626077	30.9449987679077	36.5093749687122	52.7024796109463	242.045625052708	0	38.1691552817713
AKAP5	0.810804318096538	0.795791334204995	3.28568271969101	0	26.6445798134743	11.9300650033562	247.257156884961	1.09522907263669	0	98.791301054805
AKAP6	1.09664420802179	6.31267174101377	1.57386502690916	0	5.11897817460352	0.586290736051168	0	47.3417357167401	0	0
AKR1B1	72.0184220215775	43.4292549936798	22.9997790378371	7.53708658785648	8.00490549153203	21.7723444151858	8.54793539705076	24.1012472739768	0	17.6315139539054
ALCAM	39.4962691658479	2.90343404115669	4.92852407953652	5.71490042626434	31.4903105587537	52.1758070290189	27.4564794441133	16.8708730917837	13.7153497213678	0
ALDH18A1	49.4679149286635	21.7730014057498	47.8061501923657	3.69787674640634	5.79649004634308	14.6402561218088	7.67146310144271	5.29527705965179	0	42.2608105764384
ALDH1A1	49.1093856109673	0	0	0.626786930364285	4.90134578309954	1.92611342708171	1.39609217512441	0	0	0
ALDH1B1	21.9924287030422	10.8722240289666	25.4640410776054	6.72099658937427	19.6727893296451	56.6010909136204	10.1794414230682	1.8202514892553	0	25.2877314235192
ALDH2	121.848501508176	1.96661998205365	0.196733128363645	501.9043889937	201.046066718849	134.12304927357	25.811412767565	9.29605087887359	13.412507814578	0
ALKBH8	3.93001927887402	14.9045919023469	12.5393564802254	9.41277717267067	3.86432669756205	2.81480948282785	1.75110821802091	8.84258498234317	0	9.3979529324932
ALPK1	9.56339131884223	25.8062164268227	4.92852407953652	43.8750851255	74.8216348578773	38.287139437435	58.8384102176203	23.1267607230514	422.353056837872	0.496252302610684
ALPL	9.09172889956215	0	0	0	0	0.840344378311328	0	0.496432224342356	66.9704752016953	0
AMIGO1	3.70095593804325	90.3379470326813	67.0859967720028	0.316640570206339	4.13300562469592	2.04452932216859	10.6978927668401	1.33319645849693	0	34.4424106084491
AMZ1	0.237480797197011	0	0	0	13.7019391946625	11.586770959224	3.96917862751407	0	0	0
ANGPT4	0.057750682123076	0	0	0.078511318623505	3.23585273362748	0.050235463665292	10.8568709517297	0	0	0
ANK3	16.6159492932333	137.253444883976	5.69970749101156	0.336170613309667	0.947353149992167	0	0.350221643604182	14.2841757407082	0	5.95502763132821
ANKEF1	4.34567183759192	10.2779947733696	12.5393564802254	0.078511318623505	0	0.050235463665292	4.27831596041997	6.2881415083365	0	12.4160123727512
ANKRD13B	6.69077540320584	1.03003594240489	1.64284135984551	0	0	0.192674440695	22.2916746628971	0.344303532485383	0	0.951958980627485
ANKRD22	6.46809352890229	0.594364606852041	0	5.6995302637141	0.167828205678165	17.6263077176507	0	0	15.7048451994229	0.496252302610684
ANKRD55	0.115728985483988	42.8768776674249	0	0.392556593117525	0	0	0.350221643604182	0	2.97466904019125	0
ANO5	0.403630144004843	0	0	9.52141183494689	248.077667633586	75.2921809454787	310.238890238362	0	0	0.455706678016801
ANPEP	17.1595410758261	0.424110405335159	0	471.647370473463	386.092176032713	553.715816241166	162.152620988736	4.08119306877377	1060.69021254849	0.496252302610684
ANXA1	247.469195683651	201.859310500191	211.488112990918	182.146259206532	84.3471957126918	105.634877541381	113.15408074628	0	16.7464473986991	55.5476906806293
ANXA2	1135.78471217138	2.91587558239815	18.0712549583006	119.340567724932	158.413668576141	112.254772136125	84.9538543249063	19.6918115655801	0	7.53458059583211
ANXA3	43.05223670252	0	0	0.313393465182143	1.78326547758862	0.689530023927029	0	0.22673294826521	157.06567703075	0
APBA2	2.84164920109198	65.7973230897235	16.4284135984551	0.313393465182143	0	0.447530350525275	0	0	0	17.7936964522809
APBB1	15.802374039846	15.3028127493871	6.68892636436392	0.313393465182143	0.734302875196843	0	0	9.46834714334802	0	5.71175388376491
APOBEC3B	7.69130037135248	0	2.46426203976826	0	33.6645596256832	20.8215587174837	0.349023043781102	0	0	4.34463384971451
APOC1	207.911977929865	0	0	0.336170613309667	5969.98717946831	2936.11542259551	4977.6665756297	0	0	0
APOC2	11.5896159677919	0	0	0	655.421808197028	324.587478603335	213.328567526987	0	0	1.44821128323817
AQP3	51.3894376137808	24.7183222911885	9.85704815907304	0	0	0.146117568533523	2.01127891695312	0	0	0
ARAP3	8.66896591828741	0.641116975123952	4.72159508072747	18.153213118722	17.128973913246	11.9186050223789	5.23534565671652	0	121.649614358941	6.24855181096948
ARHGAP10	10.9468429720954	5.44508425162612	22.9997790378371	7.83113231053999	46.9640093120567	38.1403817990997	40.021309020233	0.330954816228237	0	22.350763232449
ARHGAP22	3.62364039259226	0.162348916069344	0.983665641818223	9.49921710619017	80.1047892898384	54.4233611768318	21.5391079386661	9.5227838271388	0	0.455706678016801
ARHGAP24	6.07502251955837	0	0	75.9937368495213	46.6525225567368	36.6919012471789	11.5177604447764	316.065729881702	23.1924241934925	0.496252302610684
ARHGAP42	3.25020707201917	0	0	0	0	0	0	8.43543654589187	0	2.40017026386565
ARHGEF10L	23.8449186879352	0	0	36.9804288914928	11.445290816132	28.0176525781572	0.817183835076425	0.165477408114119	0	0
ARHGEF25	10.1267136838979	0.888540692606194	4.55976599280925	0	0	0	0	0	0	15.2718893146336
ARHGEF28	7.8479641367537	0.1695208337503	0.196733128363645	0	4.75424398435275	4.50508365743904	84.9871188479482	0	0	1.86337233666109
ARHGEF40	19.9721596676568	2.87674036546245	1.64284135984551	66.0897997955137	27.2524667808638	18.023662726971	29.8911709661707	7.70892024101712	293.551328699785	0
ARL11	1.01796757985095	1.00643067576852	0	39.8009700781321	75.0228396284645	52.5449961906665	63.6904990368488	27.9971256284355	102.276915859025	0.951958980627485
ARL4C	20.0858468981347	884.247905708247	1680.27376835021	154.203957690487	40.8737518805631	6.44349512739103	42.7270405197102	85.5518199949993	0.319687522075207	2901.92897799529
ARMC9	10.3745287336182	0.252787543122659	0	0	22.4879738519078	13.4673798682222	8.52205999436844	0.165477408114119	0	0
ASCL2	1.70182517184678	0.446212532240679	10.2594734838208	17.7980279785	7.58211240883331	10.8285818292777	16.9273794408688	0.453465896530419	5.62285768127471	96.1672666583442
ASGR2	0.601022405151215	0	0	6.38724165288367	0	0	0	0	0	0
ATIC	118.57547734037	70.7167207962661	68.1779164335885	10.08511839929	66.5636937479028	65.9168960232106	46.112516407884	29.9287491710077	0	46.4838075523712
ATOH8	3.86594890374665	0	0	15.0428863287429	0	0.355573151579761	0.33521315282552	0	5.69800398442411	0
ATP10A	2.59973070120347	25.3089656993202	10.6784688389958	1.80576032834062	0.21860446407804	0	2.51715123925648	0	0	29.1458177781071
ATP6V0E2	40.8973170733699	145.921278953791	124.253623304052	14.8821067996979	65.4787258459686	52.3726005334892	64.7648519525644	27.3037723388296	0	75.9134447026355
ATP9A	20.5888860474965	0.096091589891088	3.28568271969101	0	42.1735978563459	9.64600649044046	139.561617191631	1.09522907263669	2.43069579718996	24.4362733070476
AUTS2	18.1765800490674	1.82266060467251	30.2969017680013	0.711921119139999	0.940693545190576	0.050235463665292	0.16760657641276	33.9521012517373	0	66.272218022579
AVPI1	16.4983836733414	12.9234072375807	26.2854617575281	25.9645267569198	211.019592985491	87.9366067961787	309.071446106201	8.43934781382004	0.142924351216106	34.5640474822307
AXIN2	5.29750294546936	31.264688326836	6.83964898921387	0	0	0	0.314643904907061	2.31668371359766	0	0.951958980627485
B3GAT1	0.3896172423343	0.085583538519867	2.75426379709103	0	0	0	0	0	0	15.4437766204933
B3GNT5	12.1698230434647	0.344471475470705	0	68.006381944525	44.9799928683301	29.7007512427893	72.5736475867251	0	183.743492061144	0
B3GNT7	2.99352808427435	0.181675128410955	4.92852407953652	0.316640570206339	7.98832618472121	4.92496837880346	0.314643904907061	20.8501534223789	0	287.501316956985
B4GALT6	2.34674454637924	0.732747172011138	2.36079754036374	2.82054118663928	3.79612992662099	2.92726408329809	2.09413826268661	0	1.12571256649757	37.9064719192398
BACH2	0.71244211024756	39.3288844937913	9.03562747915029	0.080898713516298	0.188824889839559	0	0	87.9695525500152	0	9.89420523510389
BAIAP3	4.04218866752029	1.43998217579037	14.8192394766301	0.840124573671784	0	0	0.590112546264824	5.21485781009982	23.7059700558239	6.12691493718783
BANK1	2.43481849028933	0.359387184384968	0	3.48304627226973	0.167828205678165	0.150706390995876	0	1026.19667857268	0	1.44821128323817
BASP1	31.3128610041867	0.636485089244369	0	116.840370406139	281.026973274342	458.711231237137	139.783884728242	67.9999476658631	1972.4822134563	0.455706678016801
BATF3	3.49858943130087	0.680400164148709	1.13994149820231	32.2795269137607	17.2609307357316	3.69141421066818	13.7201167006571	0.22673294826521	2.03108325497782	0
BCAR1	46.583451914713	0	0	0	8.0290329785591	7.67576265202142	20.766497723866	0	0	0
BCAS4	13.3902510247665	8.85111925696403	3.14773005381831	0.080898713516298	0	0.150706390995876	0.233481095736122	11.1099144649953	0	1.40766565864429
BCAT1	3.79501163674054	0.26803071006041	0	5.32078896658797	63.932696806042	66.0472790044049	5.03430247851297	0.453465896530419	0.281497734596213	0.951958980627485
BCL11B	1.2117009013232	273.448856475632	165.255827825462	1.008511839929	0	0	0	0	0	55.8720556773804
BCL3	66.8378336126965	17.2549029631392	21.6588884658439	98.574616644156	4.55908591629061	27.0088400229454	0.50281972923828	40.1113615345471	203.833036638983	12.8311734261741
BCL7A	9.92382281442205	8.82620139791062	5.69970749101156	2.193754256275	11.8016736344197	9.53447480763723	69.2215160584699	180.252693870842	0	0
BEND5	3.50534511299159	19.8960303830069	3.28568271969101	0.711921119139999	0	0	1.40088657441673	46.3336742719532	0	2.81533131728857
BEST1	2.44325218612107	0	0	2.53312456165071	8.11880750411351	6.21388787306817	6.34370987234685	0	31.0273515767149	0
BEX2	20.4173358892491	19.6423465165669	18.239063971237	0.15702263724701	1.01336970005787	0	0.232682029187401	29.7822555599856	0	17.428785830936
BHLHE41	13.7626951676818	0	0	0	342.111545253497	263.702290703797	297.134951272311	2.04059653438689	0	0
BIN1	32.8763725356084	161.37332614842	159.591809748324	15.6943504221618	47.6194961615693	25.587583117624	6.16607377346613	48.3194031693226	0	189.430132337385
BIRC3	12.1170631719188	11.3885196309919	5.69970749101156	2.35319429316767	0.626033817995639	3.79372397653197	0	13.3319645849693	0.212241495164926	0.496252302610684
BLK	0.317818577487102	3.33075085060559	9.63992328981859	0.161797427032596	0	0	0	507.655071165804	0	1.40766565864429
BLMH	30.0936734105457	27.6982485499022	31.2139858370646	6.72099658937427	15.0423592902407	8.61759044813656	11.9564683864683	3.40099422397814	0	17.7531508276871
BLNK	14.2136425822751	0	0	0.626786930364285	1.97209036742818	4.00078003689547	0.466962191472243	39.4515329981465	0	0
BMS1	13.4380654589179	63.6261127088939	67.2565483939364	28.518805331575	49.2995479653591	66.6724912860565	52.0044335233841	49.2853082686509	0.142449711915099	61.7962424915988
BNC2	1.4800910503018	0	0.786932513454579	0	0.863366413346591	1.0384099090388	0.232682029187401	0	0	41.2991467883268
BOK	30.8576404040837	0	0	0	2.3513443685065	3.45682776455985	5.58436870049762	0	0	97.1694760710496
BST1	4.29094817277228	0.622682778878847	0.821420679922754	149.26213258902	24.5392180337879	19.1105949254639	10.8944274668294	0	187.666848020048	0
BTK	4.22148924739488	1.49869936112483	0	395.1162211227	273.61547851174	295.211623295656	229.690050582154	375.46300217531	118.236776357978	1.44821128323817
BTLA	0.501234048933911	17.6650793997125	20.5189469676416	0	0	0	0	118.150869393481	2.28775110446599	0.455706678016801
BTNL8	0.155749499891351	0	0	0	0	0	0	0	176.06137992733	0
C11orf45	1.52535109040578	0.507712407636555	3.41982449460694	0	86.4875095726452	36.4897008352732	35.5325941995051	0	0	0
C12orf29	16.1693891269739	33.044978435571	32.0354065169874	4.70090197773214	14.0860463759304	19.1447594954225	8.21272224422524	17.5406052600966	0	16.6795549732779
C17orf64	0.071322722089118	0	0	0	1.33146033126003	0.526739276430691	44.244667641995	0	0	0
C1orf115	14.9351678055337	6.9651712776217	2.46426203976826	3.79968684247607	72.4278941315177	15.5130258276916	186.328036483118	11.9987681264723	0	1.90391796125497
C1orf21	35.4792594001394	0.709906027378355	44.4577184298902	7.28273311474579	17.8673324238974	18.3928161920952	1.47528136566206	0	0	177.632009141027
C1orf52	20.7586754820809	41.9410051296018	0	36.6425968507537	14.2256941577935	12.08446842091	9.58932887680338	68.4733503760933	29.9720236196636	0
C1orf54	17.7507321453042	5.37585039819773	1.37713189854551	14.2821177524203	241.131033001962	350.668395574817	86.5577148577132	1.58713063785647	0	0.911413356033602
C1QA	121.083966808707	0	0	13.1619516541913	56.2935619031992	231.141183008225	20.2113547095702	0	0	0
C1QB	146.378669977359	0	0	9.24137031038962	84.6949023786048	353.550617771187	170.090978243765	0	0	0
C1QC	115.137531771462	0	0	0	0	4.8151254112319	0.349023043781102	0	0	0
C2	31.3151525134038	0.365487578213147	0	4.48066439291618	41.3906134290515	37.8851641142928	17.9780443716814	0.827387040570593	0	0
C20orf194	5.77635166570334	11.4816595395923	18.8926756382233	41.3679374040428	93.8207608053229	38.2232454697711	35.2592246393232	13.4278377669299	0	8.11192414763057
C22orf24	0.183012573828921	1.75757258455045	3.41982449460694	0	0	0.146117568533523	0.465364058374802	12.2453282004448	0	0.455706678016801
C3AR1	8.30569255981794	1.37201895975017	35.2152299770924	164.218175755443	179.345366653972	493.291885106467	2.06539391192688	0	18.0155893391369	76.3594465731682
C5AR1	8.30121952992685	0.45349516504085	0	494.553332368124	1453.48211470563	1020.49521545929	171.835678554896	1.09522907263669	1641.34993946721	0.455706678016801
C5AR2	1.29685937917588	0.606733532196456	1.13994149820231	56.5977289716299	24.0363226772774	20.4908485830866	6.16607377346613	0.172151766242691	341.547617356309	5.29659283034199
CA4	0.593869425923818	0	0	0.560083049114523	0	0	0	0	112.557886618526	0
CABLES1	9.39530242429101	0	0	0	2.24534386419378	0.355573151579761	80.8634835611145	0	0	0.496252302610684
CACNA2D3	0.746514181581996	0	0	27.8920184012107	0.991469803590451	0.050235463665292	0	0	0	0
CALHM2	17.2798530428219	4.3112589866145	24.6426203976826	51.61428113765	110.255635114043	66.8565657403994	115.219474658207	0.680198844795629	0	46.3621706785896
CALHM3	0.027671186210379	0	0	0	2.4108465813836	0.355573151579761	2.21292204849309	0	0	0
CAMK4	0.98462094474198	169.587831632935	55.8566062347472	0	0	0	0	1.09522907263669	0	0.951958980627485
