Genes	B	cancer	CD4	CD8	M0	M1	M2	Mono	Neu	NK
L3MBTL4	6.57137443582012	2.24118875908072	0	0	3.25943483134079	1.14029097619333	0.581705072968503	0.711921119139999	0	7.53458059583211
LAG3	0	3.09910482901768	2.18828034687322	68.659861798912	0.167828205678165	0.246588495864107	0	0	0	8.2741066460061
LAMA5	45.3465896530419	121.714636856945	0.0855835385198669	0	0.887591798302357	1.0384099090388	1.05066493081255	0.313393465182143	0	0.455706678016801
LAMB2	0.680198844795629	218.630167473303	0.264807259085709	0	154.304635501151	100.235446621952	35.849337185588	30.8045677012988	0	0
LAMB3	0	38.9044695384172	0	0	3.3763415110061	10.3317863596133	0.737640682831029	17.6426160471075	4.84642997105447	0.496252302610684
LAMC1	83.1493030952199	63.52733475724	0.446012515870023	0	64.3021048111584	88.4723870506409	96.4467010981777	2.49172391699	0	0.455706678016801
LAT2	21.5396300851949	9.80622579440028	0.195206508965835	0	47.8115497522033	20.017179345874	3.73569753177794	39.8967118459987	59.2876193171195	99.4497358557912
LAX1	3.78733885733921	0.696690072278495	34.0800361431254	64.7251992316391	0	0	0	0.560083049114523	0	71.4374691716553
LBH	59.9938406323617	45.7447564132703	153.026485378423	153.892102257312	0	0.200941854661168	0.233481095736122	1.77980279785	0	90.2836254687196
LCK	1.09522907263669	6.11862245770291	100.653320284626	114.177474509263	0	0	0	0	0	56.3471719703653
LDHAL6B	0	0.0767625123893383	0	0	0.410658054711971	1.64474277682428	6.34370987234685	0	0	0
LDHB	13.4036700572436	388.434318667514	135.88831986070701	66.4957973869119	20.4340645977043	29.8403299647637	9.68946547304904	3.20364503613	0	22.350763232449
LDHD	0	5.75639883783886	0	0	29.3663874059912	18.8326819003129	7.67146310144271	5.38288969350776	0	0
LDLRAD3	0	8.25102442220101	0	0	8.03852644364493	13.9549444948983	13.6586441005631	35.24009539743	0	0
LDOC1	8.84258498234317	40.5317948035201	7.85234857911303	2.46426203976826	0	0	0	0	0	8.15246977222445
LEF1	0	11.8945497575931	382.568121597028	39.8979524370809	0	0	0	0.323594854065193	0	4.38517947430839
LGALS2	0	2.83530698983459	0.452963003312548	0	387.129182256224	222.94992076608	0	646.11991878118	0.50759899526761	0
