Samples	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Malignant	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Endothelial_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__CAF	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD8	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__NK_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Macrophages	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD4	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__B_cells
TCGA-OR-A5JO-01A	0	0.19992596794950773	0.32803989822502816	0.01768121216337228	0.02261785371654246	0.4188168966819664	0.01291817126358299	0
TCGA-OR-A5J8-01A	0	0	0.7309525223713288	0.02634905505611266	0	0.2426984225725586	0	0
TCGA-OR-A5LS-01A	0.3795137509541861	0.02872324737922411	0.43806692880635906	0	0	0.15369607286023074	0	0
TCGA-OR-A5K8-01A	0.15603642479920313	0.12431989853737337	0.5161234266681765	0	0.00634791169274898	0.1795615876585717	0.01761075064392636	0
TCGA-OR-A5JT-01A	0	0.15824258262857632	0.6496999821207645	0.01147233715943743	0	0.18058509809122172	0	0
TCGA-OR-A5J6-01A	0	0.3009432560421207	0.1793322209978898	0	0.00307675370459579	0.48931095614525383	0.02733681311013982	0
TCGA-PA-A5YG-01A	0.0271736486779379	0.12204918146808752	0.30259073018182603	0.04333623563105138	0.01570819328250772	0.4891420107585894	0	0
TCGA-OR-A5KX-01A	0.23620169223046608	0.1433293579158526	0.33758659116657885	0	0	0.28288235868710254	0	0
TCGA-OR-A5KW-01A	0.16434444391797204	0.03211177869003368	0.7049306478097724	0	0	0.09635090042010652	0.00226222916211541	0
TCGA-OR-A5LC-01A	0.05102214055667354	0.03430966731718092	0.8128200548345077	0	0	0.1018481372916378	0	0
TCGA-OR-A5K6-01A	0.1765607436964075	0.04985931146116058	0.370085228790036	0	0	0.4034947160523958	0	0
TCGA-OR-A5K1-01A	0.00133175432232252	0.31093444467486714	0.4831047629135836	0	0.01058771055384949	0.1940413275353772	0	0
TCGA-OR-A5J3-01A	0.2667022357668535	0.03272573507029047	0.6466753941065113	0	0	0.05389663505634476	0	0
TCGA-OR-A5KU-01A	0.21351050776653557	0	0.6603586299739899	0	0	0.1261308622594746	0	0
TCGA-OR-A5LO-01A	1.1563896988384e-4	0	0.9269963504223376	0	0.00220706753787543	0.04482272394978346	0.02585821912011957	0
TCGA-OR-A5JE-01A	0.4226781197136292	0.04501653155342297	0.3354244917441713	0	0.00431001199615656	0.19257084499261992	0	0
TCGA-OR-A5JZ-01A	1.5109742376456e-4	0.06513598336444994	0.660737297521712	0.03454260504241578	0	0.2394330166476578	0	0
TCGA-OR-A5LK-01A	0	0.06705138130988447	0.06839048886643026	0.01121583608485047	0.01479987459518156	0.76869772365276	0.03961658189838264	0.03022811359251051
TCGA-ZF-A9R7-01A	0.02221070461899888	0	0.1918499601958681	0.40087379653728006	0	0.33806153010713813	0	0.04700400854071483
TCGA-FD-A3SO-01A	0	0.02149512092630377	0.6822169371208937	0.03233640468605291	0	0.2625913462834973	0	0.0013601909832523
TCGA-E7-A97P-01A	0	0.04532484470982837	0.5937368617091803	0.2351677931920491	0	0.12541861562700127	0	3.5188476194092e-4
TCGA-GU-A767-01A	0.04077943409758727	0.142453234181013	0.7327257134723397	0.00204665622388806	0	0.08199496202517195	0	0
TCGA-4Z-AA81-01A	0.02182553952175456	0	0.40185250765845687	0.29687251091327366	0	0.2610312087779163	0	0.01841823312859868
TCGA-K4-A3WV-11A	0.1017442337033925	0.12414365800109103	0.5622830130149158	0.01423132310564432	0	0.15622831246593244	0.04136945970902384	0
TCGA-E7-A85H-01A	0	0.01670101691679126	0.5729880464193865	0.11149222380987396	0	0.28452199602387296	0	0.01429671683007528
TCGA-G2-AA3C-01A	0	0.00713585936007618	0.5283981959319841	0.00658556584953057	0.00471239532414696	0.4531679835342622	0	0
TCGA-E7-A8O8-01A	0	0.0792303909443537	0.6457555290700844	0.044434227429388747	0	0.2305798525561731	0	0
TCGA-XF-A9SM-01A	0	0.01329203645600197	0.3824646788932499	0.13871750441595573	0	0.4634724598914006	0	0.00205332034339171
TCGA-DK-A3IN-01A	0	0.02057355735469122	0.7328446944940339	0.011849133260602	0	0.23473261489067287	0	0
TCGA-BT-A2LA-11A	0.0422231784323206	0.0997819196844316	0.6432351925252011	0.051462308184049	0	0.14944291482996347	0.01385448634403445	0
TCGA-2F-A9KR-01A	0.00334107484661076	0.00367605433617608	0.8183376960315282	0	0	0.12239451601620566	0.05225065876947929	0
TCGA-E5-A4U1-01A	0.22685150557328665	0	0.7356913467729737	0	0	0.03745714765373975	0	0
TCGA-E7-A3Y1-01A	1.370444381633e-4	0.1708682918630596	0.6846697772961008	0.0204065270991012	0	0.12391835930357528	0	0
TCGA-FD-A6TC-01A	0.00400539697308634	0.00166688071880373	0.8508959036167604	0	0	0.12452991126956392	0.01890190742178583	0
TCGA-FD-A5BV-01A	0.00495690080110096	0.0791400746854517	0.7583934441226928	0	0	0.10806452456681977	0.04941961358367473	2.544224026017e-5
TCGA-DK-A2I4-01A	0	0.01581095730798651	0.4226754775991759	0.11481668687294425	0.00947918904546028	0.43721768917443293	0	0
TCGA-UY-A78M-01A	6.2075022564938e-4	0.00652595685739901	0.9164682587278632	0	0	0.06176897601641657	0.01461605817267173	0
TCGA-4Z-AA7R-01A	0.20885662091929433	0	0.7061481033346214	0	0	0.08499527574608426	0	0
TCGA-HQ-A5NE-01A	0.00343712591567535	0.09543037872413132	0.7783610165936568	0.01275942747933012	0	0.1001756299511361	0.00979464647975985	4.177485631058e-5
TCGA-XF-AAMT-01A	0	0.02190579175744851	0.8580853570959052	0	0	0.104002957948517	0.01600589319812941	0
TCGA-XF-A9SU-01A	0.00713107426726636	0.05803944601492281	0.8055787650453032	0.02014830804755434	0	0.095059716421307	0.00625775984288921	0.00778493036075714
TCGA-CF-A47S-01A	0.06298694931467365	0.15916676394194207	0.43093694743104866	0	0	0.20633660366862325	0.14057273564371245	0
TCGA-FD-A6TK-01A	0	0.05868541407081026	0.7010265528051437	0.05915747071920451	0	0.17929656539021416	0	0.00183399701462729
TCGA-E7-A5KF-01A	0.3723242497413248	0.12676215613121264	0.3094518486450981	0	0	0.13830930660856292	0.05315243887380153	0
TCGA-UY-A78L-01A	0	0.02100385015607767	0.7976269291694699	0.01633840745210227	0	0.16503081322235005	0	0
TCGA-S5-A6DX-01A	0.01017402478406775	0.09170889237942333	0.4351682071032435	0.04960240747991873	0.01028848159777305	0.36086006355787686	0.04219792309769662	0
TCGA-XF-A8HI-01A	0.0069869797066739	0.04820477524494605	0.7095077643741996	0	0	0.1284320542503575	0.10686842642382292	0
TCGA-XF-A9T5-01A	0.00459709487615339	0.01009585089144021	0.2850297386901991	0.21936034573531324	0	0.43134091986700895	0	0.04957604993988496
TCGA-XF-A9SX-01A	0	0.01836148812923368	0.6514259490582083	0.04776215626716104	0	0.2627227478284031	0.01010018979449698	0.00962746892249679
TCGA-G2-A2EK-01A	0.01607957245572956	0.12985407232948035	0.6263621742236338	0	0	0.10039412520277992	0.12101868799016144	0.00629136779821499
TCGA-ZF-A9RE-01A	0.2928317752576456	0	0.5904793597820376	0	0	0.1166888649603169	0	0
TCGA-E7-A7DV-01A	0	0.00870436128864664	0.4918948690803294	0.00420719776806787	0.00270648009449987	0.49248709176845623	0	0
TCGA-HQ-A2OF-01A	0.49278785410797366	0	0.436597393563976	0.0095118114851785	0	0.06110294084287189	0	0
