Mixture	Malignant	Endothelial cells	CAF	T cells CD8	NK cells	Macrophages	T cells CD4	B cells	P-value	Correlation	RMSE
TCGA-XU-A92T-01A	0.12632859758532469	0.08967739736245028	0.24316906763677623	0.00000000000000000	0.00000000000000000	0.53331474582800520	0.00751019158744365	0.00000000000000000	0.00000000000000000	0.27270205257483410	1.23187176465475545
TCGA-5U-AB0F-01A	0.06768034446932490	0.00067284019619070	0.05983631800515792	0.00000000000000000	0.00000000000000000	0.29736189011724429	0.57444860721208224	0.00000000000000000	0.00000000000000000	0.54227516867925618	0.84787259355092259
TCGA-YT-A95G-01A	0.02642306596946022	0.00153439041788957	0.04633514788313037	0.00000000000000000	0.00000000000000000	0.17835575786184341	0.73796919976015629	0.00938243810752006	0.00000000000000000	0.43117583603480014	0.90555754544673250
TCGA-4X-A9FA-01A	0.07267141706560355	0.05191923698783286	0.17845403567826892	0.00000000000000000	0.00000000000000000	0.29370537900970023	0.36686362072108919	0.03638631053750514	0.00000000000000000	0.25744308867007543	1.04533224307190831
TCGA-XM-A8RG-01A	0.18527374652115947	0.14008697937330578	0.20051379686382284	0.13762267448467069	0.00000000000000000	0.28534648506910731	0.05115631768793413	0.00000000000000000	0.00000000000000000	0.23965746702964383	1.04443298901927606
TCGA-4X-A9FC-01A	0.00000000000000000	0.00000000000000000	0.05711786997464124	0.00000000000000000	0.00000000000000000	0.11246919924009982	0.83041293078525902	0.00000000000000000	0.00000000000000000	0.41579499648040108	0.91001108289256982
TCGA-4V-A9QL-01A	0.07153709389394956	0.01521617638282731	0.12802044996453898	0.03959515338664898	0.00000000000000000	0.23695341495813432	0.49041172617192580	0.01826598524197502	0.00000000000000000	0.44530971924582435	0.90341393974569018
TCGA-XM-AAZ1-01A	0.00000000000000000	0.00000000000000000	0.01830631176485305	0.00000000000000000	0.00000000000000000	0.21045828030063965	0.76868842916666080	0.00254697876784666	0.00000000000000000	0.37475154423540019	0.94533727019673874
TCGA-X7-A8M0-01A	0.01222725400679344	0.14256070082243127	0.07237894234702405	0.02983375952194212	0.00830515148137393	0.22418122018086198	0.43240479115828950	0.07810818048128383	0.00000000000000000	0.70170712365410193	0.72019446742763471
TCGA-XM-A8R8-01A	0.00000000000000000	0.00641761116310010	0.20101838600145761	0.20652843085209346	0.00000000000000000	0.16390249422944964	0.19492039564371727	0.22721268211018195	0.00000000000000000	0.85384625495985300	0.56310558109947384
TCGA-X7-A8DD-01A	0.02715893363398338	0.00552256001859855	0.05040269524078567	0.00000000000000000	0.00000000000000000	0.16975963289634935	0.73596343399475250	0.01119274421553064	0.00000000000000000	0.40275631646247811	0.92009703462366577
TCGA-XU-AAXX-01A	0.00000000000000000	0.00080089087774226	0.00432948000765855	0.00000000000000000	0.00000000000000000	0.14106057374271350	0.85340390716790460	0.00040514820398110	0.00000000000000000	0.53522482963787099	0.84643766020296862
TCGA-X7-A8M1-01A	0.00000000000000000	0.00000902405632563	0.21974014725337890	0.00000000000000000	0.00000000000000000	0.26592245269867160	0.51432837599162373	0.00000000000000000	0.00000000000000000	0.29686270286802335	1.00330010260854507
TCGA-XU-AAXZ-01A	0.00000000000000000	0.02723911982509864	0.03519715164183099	0.20378935038885368	0.00000000000000000	0.44407625263778666	0.27630509717627222	0.01339302833015786	0.00000000000000000	0.74907105389635364	0.68599414584191398
TCGA-ZL-A9V6-01A	0.00000000000000000	0.05681292084881435	0.06962827570697527	0.17673860431127719	0.00000000000000000	0.36257128280783046	0.24864970194916416	0.08559921437593852	0.00000000000000000	0.42105051609168648	0.99624416604377442
TCGA-X7-A8DF-01A	0.02055481484379625	0.00573275085214269	0.04151812133078539	0.00000000000000000	0.00000000000000000	0.22986022211381332	0.70233409085946241	0.00000000000000000	0.00000000000000000	0.47744615264031776	0.88357750700020310
TCGA-3G-AB14-01A	0.00000000000000000	0.03034836025472856	0.07792219459583224	0.10202491330116151	0.00000000000000000	0.40978760745945375	0.37868970618061609	0.00122721820820785	0.00000000000000000	0.35398260707354784	1.05803160198086488
TCGA-XM-A8R9-01A	0.00975795635663996	0.10571336642381955	0.05550153461951950	0.02132917843893769	0.00442642886200593	0.12363195719828898	0.50452147003698600	0.17511810806380246	0.00000000000000000	0.64621590402913798	0.77147144142651358
TCGA-X7-A8DJ-01A	0.00000000000000000	0.00000000000000000	0.10976288727579936	0.00000000000000000	0.00000000000000000	0.15036830095080872	0.73807282373680194	0.00179598803659004	0.00000000000000000	0.43793989433651237	0.89944978879028736
TCGA-ZB-A96O-01A	0.00000000000000000	0.00220892187538994	0.00965502173520094	0.00000000000000000	0.00000000000000000	0.17374392077704037	0.80576592082727638	0.00862621478509236	0.00000000000000000	0.59007157416054778	0.81052924882433641
TCGA-3Q-A9WF-01A	0.00000000000000000	0.00869081797598908	0.06324636642593455	0.00000000000000000	0.00000000000000000	0.15531971561895416	0.76731331374069023	0.00542978623843206	0.00000000000000000	0.70541663249131048	0.74355456610939130
TCGA-ZB-A964-01A	0.07437431425860100	0.10538709665773265	0.46769952819514854	0.00000000000000000	0.00000000000000000	0.35253906088851789	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.19039811700596221	1.13847035784388462
TCGA-4X-A9FB-01A	0.00000000000000000	0.00396213395040397	0.01752676952729813	0.00742435755367955	0.00000000000000000	0.15853984394256884	0.79625972480689167	0.01628717021915787	0.00000000000000000	0.62144393797592179	0.79237312597517562
TCGA-YT-A95F-01A	0.00000000000000000	0.00000000000000000	0.29545122010961217	0.00000000000000000	0.00000000000000000	0.15417725859592873	0.55037152129445899	0.00000000000000000	0.00000000000000000	0.17445965489880436	1.02390470110583665
TCGA-XM-A8RB-01A	0.00000000000000000	0.00000000000000000	0.00481219572571220	0.00000000000000000	0.00000000000000000	0.21045633411894191	0.78387262409154257	0.00085884606380333	0.00000000000000000	0.65557234570759237	0.76095688568704611
TCGA-5U-AB0E-01A	0.03933115126584971	0.05495146885311386	0.11050198647697033	0.04851662538396478	0.00000000000000000	0.15747206715463311	0.58593486652687021	0.00329183433859800	0.00000000000000000	0.41764960704353521	0.90930719343578637
TCGA-4V-A9QM-01A	0.00000000000000000	0.00000000000000000	0.28191687618125499	0.00000000000000000	0.00000000000000000	0.30636615620339447	0.41171696761535054	0.00000000000000000	0.00000000000000000	0.32262957348472160	1.00730079021552199
TCGA-XM-AAZ3-01A	0.14271539361060842	0.07534350210342777	0.23009561191629146	0.08972351078182579	0.00000000000000000	0.30510539967330202	0.15701658191454443	0.00000000000000000	0.00000000000000000	0.11735076311574752	1.12760128890735256
TCGA-ZB-A96E-01A	0.02199830485510747	0.02093615102771498	0.12752835902470544	0.00000000000000000	0.00000000000000000	0.14541605636025964	0.67959095322616936	0.00453017550604319	0.00000000000000000	0.12381668465196413	1.04343450966515783
TCGA-E6-A1M0-11A	0.00253072407107212	0.01741089697385152	0.90800803656097029	0.00829541839212574	0.00000000000000000	0.06375492400198035	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.24003345976812782	1.05366176769821784
TCGA-B5-A1MY-01A	0.03203504910069283	0.10882497948599672	0.64490725551403416	0.02889248645700254	0.00000000000000000	0.18534022944227371	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.23225846240441042	1.03972738973417766
TCGA-AX-A06F-01A	0.02196643733828368	0.00156153616037623	0.35765069187070014	0.15125952150808969	0.00000000000000000	0.46756181312255024	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.43854762410354176	1.03215126854404149
TCGA-D1-A176-01A	0.06190039397340170	0.00365973145101271	0.49661947584438515	0.03616154660375049	0.00000000000000000	0.40165885212745006	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.34989209499360685	1.06128064631545960
TCGA-B5-A11V-01A	0.00232276609383733	0.13590227272475369	0.69154732220785453	0.00000000000000000	0.00000000000000000	0.13803739658382153	0.03006259398211169	0.00212764840762124	0.00000000000000000	0.35652573412851896	0.96160844706416138
TCGA-BG-A220-01A	0.18318405660235837	0.01537485543583439	0.62185587061434111	0.04698265570792957	0.00000000000000000	0.13260256163953668	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.18004797088322055	1.04444127394652297
TCGA-A5-A0G2-01A	0.00000000000000000	0.00707956933792262	0.45315217700751048	0.12989644961342198	0.00000000000000000	0.40987180404114487	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.37875020224981143	1.04347621433308246
TCGA-AW-A1PO-01A	0.27539343729066490	0.00000000000000000	0.50001952978619502	0.01802834373251015	0.00000000000000000	0.20655868919062989	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.18390208317538961	1.05423086595118987
TCGA-AX-A3FT-01A	0.00000000000000000	0.00000000000000000	0.37686809279878331	0.34651305202844040	0.01130858338107019	0.26274122280146200	0.00000000000000000	0.00256904899024420	0.00000000000000000	0.51427814902273739	0.86660260870677797
TCGA-AP-A1DM-01A	0.05973824280444126	0.00738311006704934	0.79289012407356230	0.08478542540944690	0.00000000000000000	0.04361565907127772	0.00000000000000000	0.01158743857422253	0.00000000000000000	0.13554602147505734	1.08254139491668910
TCGA-AJ-A8CT-01A	0.12429962497142598	0.05015195616022937	0.26931621038749665	0.13583011072950174	0.00000000000000000	0.28239655655924928	0.05839337339686077	0.07961216779523619	0.00000000000000000	0.52856216318337457	0.86148948958080718
TCGA-BG-A0MS-01A	0.00000000000000000	0.08395709282371056	0.57108272924037273	0.00316624624629009	0.00000000000000000	0.30225198505362183	0.03934967194766009	0.00019227468834458	0.00000000000000000	0.51320111533653667	0.88251981521241774
TCGA-D1-A16G-01A	0.00588097530015872	0.10920805540784405	0.53065436805522570	0.00000000000000000	0.00000000000000000	0.29264453669311807	0.06161206454365364	0.00000000000000000	0.00000000000000000	0.48415302896091389	0.89983860705376684
TCGA-EY-A2OP-01A	0.30590126740717083	0.00083890095219407	0.56794532230844141	0.02058669883534135	0.00000000000000000	0.10472781049685242	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.34315131269748728	0.95156803418604241
TCGA-DF-A2KZ-01A	0.02197714657497365	0.07630178668915562	0.69957626178888188	0.02361039663430456	0.00000000000000000	0.15688438793143084	0.00000000000000000	0.02165002038125348	0.00000000000000000	0.15269969597291350	1.08482515548318692
TCGA-A5-A0R9-01A	0.13430808804650896	0.05801158013079848	0.53237923783477337	0.04841913133840928	0.00000000000000000	0.22688196264950991	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.48495970703888719	0.88177848345846577
TCGA-D1-A17N-01A	0.01632541434688047	0.17124205565183415	0.43092123142944549	0.05228153139719016	0.00000000000000000	0.29131756333483699	0.02196139794326226	0.01595080589655046	0.00000000000000000	0.69931209668609373	0.71537452088468778
TCGA-AX-A1CK-11A	0.13027635654317463	0.05927954375191297	0.30932262595704835	0.12247685767040951	0.00000000000000000	0.37864461607745459	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.70843247421786726	0.70989219669726245
TCGA-D1-A15X-01A	0.00000000000000000	0.00310541300121732	0.28631142967549017	0.47425692848405937	0.00475503960830949	0.20806359155861542	0.00000000000000000	0.02350759767230831	0.00000000000000000	0.18307064686369129	1.06097168558525046
