Samples	CBSX__CD226__B	CBSX__CD226__CD4	CBSX__CD226__CD8CD226negNoAct	CBSX__CD226__CD8CD226negPostAct	CBSX__CD226__CD8CD226plusNoAct	CBSX__CD226__CD8CD226plusPostAct	CBSX__CD226__M1	CBSX__CD226__M2	CBSX__CD226__Mono	CBSX__CD226__Neu	CBSX__CD226__NK
SimData1034	0.24497053593062687	0.37305542946188386	0	0	0.02523239582304351	0.03886477590793409	0.09592986929698862	0.03820382742257454	0.1188354300015335	0.02597125362710874	0.03893648252830634
SimData1035	0.26201342047441667	0.3919420513708728	0	0	0.02317984413100897	0.04357620813563157	0.08306594292213762	0.02591096005907591	0.11760850333467772	0.02648426126824892	0.02621880830392964
SimData1036	0.27520394555733957	0.42305296088271355	0	0	0.01620092490093673	0.04963733265443671	0.07244667219985974	0.01864700014934939	0.10725531550192444	0.01502110956575545	0.02253473858768435
SimData1037	0.21608084251569132	0.4964565005140177	0	0	0.02485107182585863	0.0537691554182782	0.08445127079286177	0.02023508605849645	0.0828997261728077	0	0.02125634670198804
SimData1038	0.21596756711261852	0.32245057644371156	0.00163839422808341	0	0.02213709866496116	0.01046638656296168	0.08812555146210853	0.12261721298089762	0.11077779091138248	0.06590208697054023	0.03991733466273467
SimData1039	0.1915823679216747	0.2831118240367006	0	0	0.02814832233054011	0.01698848029758989	0.10572099005459216	0.1271832108799298	0.1274555733635616	0.07981339221093262	0.03999583890447857
SimData104	0.2208066396798871	0.3353991357835977	3.9361249138815e-4	0	0.02657144442001795	0.01301174741911454	0.08070782903872668	0.115526338899667	0.10974090686961288	0.06257054164793126	0.03527180375005685
SimData1040	0.2108268064959715	0.3177596267851255	0	0	0.02733014371905198	0.0178345949619135	0.09432060222778164	0.12470885998025374	0.11121272142382028	0.06318842285704997	0.03281822154903188
SimData1041	0.21106730682331187	0.3199147729232349	0	0	0.03218500998860739	0.02547051106118362	0.10534309908637816	0.1024864387724167	0.11190326193710214	0.05863788617968123	0.03299171322808383
SimData1042	0.20125651247985624	0.29240386543824415	0	0	0.02269740778917274	0.02063887841337162	0.09960851442478746	0.09515196457691416	0.13806422322161305	0.09070957685734056	0.03946905679870014
SimData1043	0.21788070583567715	0.3228864028366952	0	0	0.02920656841426769	0.02511945990065192	0.09587413946559126	0.07105955460428394	0.12775822895555172	0.07870638516933336	0.03150855481794789
SimData1044	0.23609456507380416	0.36336945754364114	0	0	0.02730793003235467	0.03106489248880231	0.09033491219583144	0.05188375744804011	0.12086073639765668	0.04745113294006879	0.03163261587980089
SimData1045	0.23958396247092684	0.3634790703981468	0	0	0.0266435117646157	0.03365409157649014	0.09157373060892691	0.04131664606182364	0.12193428420310772	0.04901364627476448	0.03280105664119777
SimData1046	0.2370770681526646	0.3640784226179099	0	0	0.02916866567518366	0.03382452740522265	0.09052364153228974	0.04602633267314252	0.1200209796794268	0.04674745953862143	0.03253290272553858
SimData1047	0.2356520427374832	0.361770418969912	0	0	0.03130108576377456	0.03365274019243707	0.0892396429814424	0.04771095153092992	0.12055502758930872	0.04834658388202278	0.03177150635268928
SimData1048	0.23655761339229744	0.3636489150044872	0	0	0.02971429663869464	0.03486678768958179	0.09026016967361382	0.04540995981916871	0.12018994973104082	0.04730356116249194	0.03204874688862388
SimData1049	0.23645802174812555	0.3632163657450624	0	0	0.03057249290777193	0.03426702260144547	0.08971853775562712	0.04638903848038001	0.1197356858587044	0.04750201884080556	0.0321408160620775
SimData105	0.2151123673779958	0.32736353021544873	0	0	0.02693008083666574	0.01834237271133839	0.0883314469165493	0.1260596960634478	0.10880360300541513	0.05673510900660206	0.03232179386653702
SimData1050	0.2361826585679468	0.3626648777108892	0	0	0.03083470069477541	0.03457908005921623	0.09029910553226855	0.04609736680364115	0.11994630138854118	0.04732487947952201	0.03207102976319934
SimData1051	0.25740892333543214	0.38957516724222274	0	0	0.02522326721854292	0.0372871124572848	0.07922093276600722	0.01868065076197071	0.12021145454199432	0.04058830795317434	0.03180418372337083
SimData1052	0.2654412871094108	0.39665927370955417	0	0	0.02309654801568947	0.04268004145221321	0.07880034350480412	0.02988829643229601	0.11302856233193435	0.02517924678279741	0.02522640066130052
SimData1053	0.25388806387502977	0.4401381346416046	0	0	0.01851570781512165	0.05083726319486685	0.07583023623016419	0.01991597665337602	0.10338588444771211	0.0165124067973338	0.02097632634479082
SimData1054	0.21737970746576343	0.500247711516313	0	0	0.02515530136109585	0.05357936695497864	0.08363314141893496	0.01592177584386807	0.08252060233592717	0	0.02156239310311892
SimData1055	0.2209544560636481	0.33070612046453146	0	0	0.02959550232466923	0.00990375392559372	0.08760579037061077	0.11969807830869984	0.10823564357022768	0.04877353006480661	0.04452712490721254
SimData1056	0.21647577597183673	0.3288598839111528	0	0	0.02727643011535886	0.01524770572077796	0.08289655765837571	0.13115189797501692	0.10857882504520384	0.04646221988463703	0.04305070371764023
SimData1057	0.21493685076384297	0.32504652666043715	0	0	0.02464239396530921	0.02024768608349586	0.08995069757240284	0.1339237425778597	0.10753307685615592	0.04286019248690692	0.04085883303358953
SimData1058	0.21538828133644436	0.326847544450387	0	0	0.03326344027378197	0.01833315437043897	0.08886281664010336	0.13288482394000162	0.10737066704414124	0.03938515761408171	0.03766411433061973
SimData1059	0.22592123781368725	0.34151196667335615	0	0	0.0302714203523196	0.02242376376156343	0.07824556902880268	0.12492610759510162	0.10935849591804005	0.03218003722254279	0.03516140163458648
SimData106	0.22264905036584584	0.3396113242435643	0	0	0.02108300657904418	0.02314868394653935	0.07610670174350445	0.11904023302006386	0.1118255413710204	0.05371164196542155	0.03282381676499613
SimData1060	0.22967523261835088	0.35260664032097494	0	0	0.0307066863909285	0.02651587580828493	0.08574095307412215	0.09608073641816	0.11565870610329036	0.02835644331694617	0.03465872594894209
SimData1061	0.23942546224692957	0.3681187149626343	0	0	0.03039986117535778	0.03047236339559378	0.09136221143322418	0.06530198066789605	0.11673445651284284	0.02615857333917186	0.03202637626634967
SimData1062	0.2385038683023422	0.3604434920401494	0	0	0.02807830106543554	0.03215669957177732	0.09308587556748003	0.07299305201857385	0.11741723784518812	0.02688980855902368	0.03043166503002991
