Gene Symbol	B cells	T cells CD8	T cells CD4	Macrophages	Dendritic cells	Mast cells	Myocytes	CAFs	Endothelial cells	Malignant cells
AGMAT	1.00	1.00	16.53	1.00	1.00	1.00	1.00	1.00	1.00	1.00
AGPAT2	242.88	1.00	1.00	1.00	1.00	53.31	142.12	1.00	152.18	203.55
AGPAT5	1.00	1.00	1.00	1.00	1.00	1.00	36.98	1.00	1.00	1.00
AGPAT6	1.00	1.00	1.00	21.08	87.77	34.46	38.10	1.00	18.20	1.00
AGPAT9	1.00	1.00	1.00	1.00	1.00	83.66	167.70	1.00	1.00	1.00
AGT	1.00	1.00	1.00	1.00	1.00	1.00	1.00	229.62	1.00	1.00
AGTRAP	1.00	1.00	1.00	1.00	1.00	264.28	551.89	129.91	66.88	313.13
AHCYL1	1.00	1.00	1.00	1.00	1.00	63.30	10.57	39.99	1.00	1.00
AHNAK2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	62.06
AIF1	1.00	1.00	1.00	1595.08	1.00	1.00	1.00	1.00	1.00	1.00
AIM1	1.00	198.68	287.08	1.00	2.52	1.00	1.00	1.00	1.00	27.82
AIM2	94.23	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	91.02
AIMP2	1.00	1.00	1.00	34.87	1.00	1.00	64.97	1.00	1.00	127.65
AK1	1.00	1.00	1.00	1.00	1.00	1.00	249.90	54.49	35.18	36.07
AKAP12	1.00	1.00	1.00	1.00	1.00	1.00	1.00	48.07	1.00	1.00
AKAP17A	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	67.73	1.00
AKAP2	1.00	1.00	1.00	1.00	83.02	176.04	1.00	85.28	198.46	1.00
AKAP5	1.00	1.00	1.00	1.00	1.00	23.30	1.00	1.00	1.00	1.00
AKAP6	1.00	1.00	1.00	1.00	1.00	1.00	81.19	1.00	1.00	1.00
AKNA	1.00	101.66	60.40	1.00	1.00	1.00	1.00	1.00	1.00	1.00
AKR1B10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	109.71
AKR1C1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	76.81
AKR1C2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51.79
AKR1C3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	134.54	219.87	80.19
AKTIP	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	133.08	40.11
ALCAM	1.00	1.00	1.00	52.71	54.30	1.00	1.00	1.00	1.00	26.82
ALDH18A1	62.81	1.00	1.00	17.47	1.00	1.00	1.00	1.00	1.00	44.25
ALDH1A1	1.00	1.00	1.00	1.00	1.00	196.98	1.00	1.00	1.00	1.00
ALDH1A3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	65.30
ALDH1B1	1.00	1.00	1.00	1.00	1.00	1.00	26.59	66.89	1.00	1.00
ALDH2	1.00	1.00	1.00	324.60	484.39	1.00	1.00	189.95	1.00	87.18
ALDH3A2	1.00	1.00	1.00	1.00	1.00	1.00	154.20	61.44	1.00	35.58
ALDH3B1	1.00	1.00	1.00	1.00	1.00	77.82	1.00	1.00	1.00	1.00
ALDH4A1	1.00	1.00	1.00	1.00	1.00	1.00	118.62	1.00	1.00	1.00
ALG13	62.11	1.00	80.36	1.00	1.00	35.33	1.00	1.00	1.00	1.00
ALG14	119.07	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33.29
ALG5	456.76	1.00	1.00	99.12	62.79	1.00	1.00	98.52	122.71	89.97
ALG9	34.43	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44.63	1.00
ALKBH2	1.00	1.00	1.00	1.00	1.00	1.00	128.56	1.00	51.90	25.82
ALOX5	1.00	1.00	1.00	240.48	1.00	836.14	1.00	1.00	1.00	1.00
ALOX5AP	1.00	1270.66	962.52	564.84	1.00	3744.88	1.00	1.00	1.00	1.00
ALPK1	1.00	1.00	1.00	65.88	14.94	1.00	1.00	1.00	1.00	1.00
ALS2	1.00	1.00	1.00	1.00	1.00	158.58	1.00	1.00	1.00	1.00
AMICA1	1.00	435.14	327.46	597.89	1.00	1.00	1.00	1.00	1.00	1.00
AMIGO3	78.35	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
AMPD2	73.50	1.00	1.00	97.92	1.00	95.89	1.00	1.00	27.15	1.00
AMZ2P1	1.00	1.00	1.00	1.00	1.00	35.87	1.00	1.00	25.95	1.00
ANAPC13	150.83	1.00	1.00	116.76	1.00	1.00	423.73	149.86	110.85	140.65
ANAPC15	1.00	1.00	1.00	1.00	1.00	1.00	10.58	1.00	1.00	58.34
ANAPC4	1.00	1.00	1.00	1.00	1.00	125.70	1.00	1.00	1.00	23.40
ANAPC7	1.00	1.00	1.00	1.00	1.00	1.00	113.77	1.00	106.37	42.40
ANG	104.59	1.00	1.00	134.01	1.00	1.00	1.00	1.00	1.00	1.00
ANGEL2	1.00	68.03	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
ANGPT1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49.84	1.00	1.00
ANGPT2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57.72	111.30	1.00
ANGPTL1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	119.48	1.00	1.00
ANGPTL2	1.00	1.00	1.00	1.00	1.00	1.00	91.22	77.33	107.29	1.00
ANGPTL4	1.00	1.00	1.00	1.00	1.00	1.00	1.00	565.89	1.00	101.75
ANK2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35.45	1.00	1.00
ANKRD22	1.00	1.00	1.00	50.72	3.52	1.00	1.00	1.00	1.00	1.00
ANKRD23	1.00	1.00	1.00	1.00	1.00	1.00	174.35	1.00	1.00	1.00
ANKRD28	331.27	1.00	1.00	1.00	1.00	62.82	1.00	1.00	57.47	1.00
ANKRD32	1.00	69.23	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
ANKRD36BP2	357.13	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
ANKRD37	688.16	200.89	1.00	1.00	1.00	1.00	1.00	1.00	91.80	42.58
ANKRD44	24.79	192.69	209.91	70.60	144.17	227.78	1.00	1.00	1.00	1.00
ANKRD46	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	73.47	1.00
ANKRD54	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	92.51	1.00
ANKZF1	1.00	1.00	163.67	1.00	1.00	1.00	1.00	1.00	1.00	41.38
ANO1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	64.60	1.00	227.22
ANP32A	1.00	85.75	82.04	10.53	1.00	1.00	37.11	1.00	40.36	41.14
ANPEP	1.00	1.00	1.00	314.82	1.00	122.70	1.00	1.00	1.00	75.77
ANTXR1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	119.00	1.00	1.00
ANTXR2	32.20	1.00	1.00	73.66	71.13	41.20	1.00	1.00	1.00	1.00
ANXA3	1.00	1.00	1.00	1.00	267.15	1.00	1.00	1.00	1.00	315.71
ANXA8	1.00	1.00	1.00	1.00	1.00	1.00	31.23	1.00	1.00	120.23
ANXA8L1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	830.82
ANXA8L2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	216.97
AOAH	1.00	410.66	160.37	593.83	1.00	1.00	1.00	1.00	1.00	1.00
AOC3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	123.61	148.01	1.00
AP1B1	1.00	1.00	1.00	173.93	13.19	60.03	47.23	1.00	1.00	26.84
AP1M2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	68.76
AP1S2	1.00	1.00	1.00	155.68	11.27	82.57	127.86	1.00	53.94	1.00
AP3D1	1.00	1.00	1.00	23.16	1.00	1.00	46.49	1.00	1.00	1.00
AP3S2	1.00	1.00	1.00	1.00	50.74	1.00	1.00	1.00	1.00	19.44
AP5M1	1.00	1.00	1.00	1.00	1.00	1.00	59.66	1.00	1.00	30.52
AP5Z1	1.00	1.00	1.00	112.13	81.72	31.72	1.00	1.00	1.00	17.11
APBB1	1.00	1.00	1.00	1.00	1.00	1.00	86.48	70.81	1.00	1.00
APBB3	1.00	1.00	1.00	93.36	1.00	1.00	24.66	1.00	1.00	1.00
APEH	1.00	1.00	1.00	78.65	1.00	1.00	113.81	1.00	22.12	48.98
APLNR	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	293.62	1.00
APOBEC2	1.00	1.00	1.00	1.00	1.00	1.00	298.76	1.00	1.00	1.00
APOBEC3A	1.00	1.00	1.00	333.43	1.00	1.00	1.00	1.00	1.00	1.00
APOBEC3B	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63.44
APOBEC3C	135.94	1006.68	488.31	207.92	1.00	206.15	65.42	1.00	1.00	174.11
APOBEC3D	46.45	65.64	45.74	1.00	1.00	1.00	1.00	1.00	1.00	1.00
APOBEC3F	1.00	43.10	1.00	1.00	42.76	1.00	1.00	1.00	1.00	1.00
APOBEC3G	59.84	812.61	157.99	43.22	1.00	1.00	1.00	1.00	1.00	1.00
APOC1	1.00	1.00	1.00	255.10	1.00	1.00	1.00	1.00	1.00	1.00
APOC2	1.00	1.00	1.00	1.00	1.00	197.76	1.00	1.00	1.00	1.00
APOD	1.00	1.00	1.00	1.00	1.00	1.00	1.00	6542.50	1.00	1.00
APOE	1.00	1.00	1.00	373.14	1.00	1.00	1.00	1.00	1.00	62.92
APOL3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	84.35	1.00
APOL4	1.00	1.00	1.00	106.65	10.95	1.00	14.15	1.00	1.00	1.00
APOL6	19.12	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
APOLD1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	71.40	301.38	1.00
APOO	92.55	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52.69	1.00
APOPT1	1.00	1.00	1.00	1.00	55.50	1.00	1.00	33.95	45.36	64.92
APP	1.00	1.00	1.00	1.00	1.00	1.00	1.00	145.98	154.73	95.90
AQP1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	169.83	9920.68	1.00
AQP3	235.22	1.00	1.00	1.00	1.00	70.90	71.10	1.00	1.00	243.75
AQP7P3	1.00	1.00	1.00	1.00	1.00	1.00	89.82	1.00	1.00	1.00
ARAP1	1.00	1.00	1.00	126.82	1.00	102.99	1.00	51.74	25.15	1.00
ARAP2	1.00	61.60	1.00	1.00	56.67	1.00	1.00	1.00	1.00	1.00
AREG	202.48	303.54	1.00	986.92	1.00	2069.61	1.00	1.00	1.00	221.56
ARFGAP2	1.00	1.00	1.00	11.70	1.00	120.37	130.84	1.00	90.11	57.46
ARFIP1	1.00	1.00	1.00	28.64	1.00	1.00	70.91	1.00	1.00	26.35
ARHGAP10	1.00	1.00	1.00	1.00	100.31	1.00	1.00	39.31	1.00	1.00
ARHGAP15	110.78	516.63	565.90	140.00	267.65	152.52	1.00	1.00	1.00	1.00
ARHGAP17	1.00	117.31	1.00	23.77	1.00	1.00	1.00	52.40	50.77	1.00
ARHGAP18	49.51	1.00	1.00	198.08	1.00	429.40	1.00	1.00	107.56	1.00
ARHGAP25	1.00	175.63	1.00	29.98	243.70	309.67	1.00	1.00	48.40	1.00
ARHGAP27	1.00	1.00	1.00	67.61	12.26	1.00	1.00	1.00	63.51	1.00
ARHGAP30	1.00	120.46	144.94	71.48	93.20	1.00	1.00	1.00	1.00	1.00
ARHGAP31	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	70.26	1.00
ARHGAP4	1.00	174.40	204.29	124.85	1.00	1.00	1.00	1.00	1.00	1.00
ARHGAP9	1.00	523.95	492.82	41.21	1.00	1.00	1.00	1.00	1.00	1.00
ARHGDIB	468.63	5501.11	6146.68	1793.24	1.00	3906.38	1.00	93.63	1209.79	133.54
ARHGEF1	1.00	478.94	588.46	127.06	42.93	58.05	1.00	1.00	83.94	56.35
ARHGEF10L	1.00	1.00	1.00	109.71	1.00	1.00	1.00	1.00	1.00	1.00
ARHGEF15	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	171.26	1.00
ARHGEF17	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49.31	1.00	1.00
ARHGEF2	1.00	1.00	1.00	34.83	30.99	27.37	1.00	1.00	1.00	1.00
ARHGEF3	1.00	157.41	140.59	1.00	1.00	1.00	1.00	1.00	155.93	1.00
ARHGEF40	1.00	1.00	1.00	65.97	1.00	57.46	1.00	1.00	1.00	1.00
ARHGEF6	1.00	1.00	1.00	46.69	1.00	357.98	1.00	1.00	1.00	1.00
ARHGEF7	1.00	144.15	124.90	1.00	1.31	1.00	17.36	93.91	148.22	21.74
ARID3B	71.60	1.00	1.00	34.77	1.00	1.00	1.00	1.00	1.00	1.00
ARID4A	1.00	1.00	57.89	14.77	1.00	1.00	1.00	1.00	1.00	1.00
ARL16	1.00	139.58	1.00	29.91	1.00	79.14	128.86	1.00	74.14	64.33
ARL17B	1.00	1.00	1.00	1.00	55.00	1.00	43.31	1.00	1.00	1.00
ARL3	1.00	1.00	1.00	1.00	1.00	44.49	1.00	1.00	1.00	15.40
ARL4A	1.00	81.62	152.08	117.86	1.00	76.60	1.00	1.00	99.91	82.64
ARL4C	1.00	165.99	137.19	52.33	1.00	1.00	1.00	1.00	1.00	41.20
ARL4D	1.00	1.00	1.00	1.00	1.00	1.00	1.00	165.90	64.33	117.03
