Genes	cell_type
GCGR	cancer
GCNT4	CD4
GDF7	B
GEM	M1
GFI1	CD8
GGACT	NK
GGT1	cancer
GH1	B
GIMAP5	CD8
GIMAP7	CD8
GIMAP8	CD8
GJA5	M0
GLB1L	cancer
GLB1L2	cancer
GLP1R	NK
GLS2	cancer
GLT1D1	Neu
GMEB2	CD4
GMPR	M0
GNAQ	M2
GNB4	B
GNG12	cancer
GNLY	NK
GOLGA2	Neu
GOLGA8A	CD4
GOLT1A	cancer
GP9	Mono
GPA33	CD4
GPAA1	cancer
GPANK1	cancer
GPAT2	M0
GPATCH4	cancer
GPBAR1	Mono
GPC4	M0
GPD1	M2
GPD2	M2
GPER1	M0
GPNMB	M0
GPR15	CD8
GPR162	Mono
GPR171	CD8
GPR174	CD8
GPR18	B
GPR27	Neu
GPR84	M1
GPR85	M1
GPRASP1	CD4
GRAMD1C	Neu
GRAP2	CD8
GRASP	B
GRB10	cancer
GREM1	M1
GRIK4	NK
GSG1	cancer
GSPT2	NK
GTF2H3	M1
GTF2IRD1	cancer
GTSCR1	CD4
GUCA1A	M2
GUCY2F	M0
GZMA	NK
GZMB	NK
GZMH	NK
GZMK	CD8
H6PD	M2
HABP4	CD4
HAND2	cancer
HAPLN3	CD4
HBD	M0
HBEGF	M1
HBQ1	NK
HCAR3	Neu
HDX	Mono
HEG1	NK
HELZ2	Neu
HEPACAM	M2
HGF	Mono
HHEX	B
HINT2	NK
HIP1R	B
HIST1H2AL	NK
HIST1H3G	M0
HK2	M1
HKDC1	CD4
HLA-DOA	B
HLA-DOB	B
HLA-DPA1	B
HLA-DPB1	B
HLA-DQA1	B
HLA-DQA2	B
HLA-DQB2	B
HLA-E	Neu
HLX	Neu
HNMT	M1
HOMER3	cancer
HOOK1	CD4
HOXB2	NK
HOXB3	NK
HPCAL4	CD4
HPGD	M0
HRH2	Neu
HRK	B
HS3ST1	M1
HS3ST2	M2
HSD11B1	M2
HSD17B14	M0
HSH2D	Neu
HSPA6	Neu
HSPA9	B
HSPB1	cancer
HSPB6	cancer
HSPH1	M2
HTRA1	M0
HYKK	CD4
ICAM3	Neu
ICAM4	Mono
ICAM5	M2
ID1	cancer
IDO1	M1
IER3IP1	cancer
IFITM1	NK
IFNG	NK
IFNGR2	cancer
IGFBP3	cancer
IGFBP4	cancer
IGFBP6	cancer
IGFBP7	cancer
IGFLR1	CD8
IGSF9B	CD4
IKZF2	NK
IKZF3	CD8
IKZF4	cancer
IL10	M0
IL12A	B
IL12RB1	CD8
