gene	Maha-Pt2	Maha-Pt27	Maha-Pt28	Maha-Pt30	Maha-Pt31	Maha-Pt37	Maha-Pt42	Maha-Pt47	Maha-Pt57	Maha-Pt61	Maha-Pt71	Maha-Pt76	Maha-Pt85	Maha-Pt86	Maha-Pt87	Maha-Pt9	Maha-Pt90
ABCC12	0	0.314983	0.008272	2.976405	0.007405	0	0	0.164684	0	0.020154	0.005058	0	0.49843	0.093813	0	0.033994	0.225161
ABCC13	0.302047	0	0.171608	0	0	0	0	0.023343	0.246726	0.601386	0.4333	0	0.485429	0	0.012761	0.02118	0.122283
ABCC2	8.309664	4.031791	316.108768	8.220029	2.843243	293.0751	2.315456	3.907837	3.720045	6.999122	2.638942	284.799019	2.954499	2.609812	176.9323	3.580485	4.450962
ABCC3	542.513793	239.02142	126.729415	121.358821	140.045222	229.801108	4.513194	84.124752	24.963846	208.128328	88.862864	95.982414	149.26445	42.328592	208.020769	305.901686	29.279196
ABCC4	24.317138	5.88809	29.705716	22.550509	12.710669	53.56963	33.960958	21.968657	6.707842	77.333008	9.624557	13.113086	31.862191	18.632125	16.190698	2.709386	12.276462
ABCC5	32.967815	16.221936	16.9213	33.440873	14.173979	42.355656	30.348291	18.29325	26.661741	22.387576	14.983808	17.458658	23.141311	17.596672	36.500981	12.258819	103.276002
ABCC6	167.77356	10.751268	30.021151	7.655764	2.698725	45.478004	8.857447	9.635357	9.083923	14.786545	12.625151	19.435424	31.211136	7.643829	16.298998	12.0197	4.015906
ABCC8	1.789687	1.599638	1.129973	0.04096	1.741256	1.596228	1.748243	0.066934	5.039049	0.02383	0.022854	0	31.681612	2.580113	7.142032	0.286921	21.71802
ABCC9	1.53236	4.777353	46.697276	13.978565	22.960838	50.817886	4.755751	5.872447	16.247298	0.112191	33.45833	9.953657	18.438893	38.879269	29.320861	19.176135	12.304423
ABCD1	7.143939	14.382491	2.951597	0.090564	4.194779	9.096925	11.516891	6.414384	6.15333	15.364483	12.126308	5.39722	7.038144	4.012869	3.643355	4.684638	6.415418
ABCD3	26.178307	19.217042	59.471144	35.946701	31.10002	28.959824	52.494232	26.321449	14.309033	58.699807	17.498475	15.462933	57.22297	42.075302	33.870453	22.810331	133.053089
ABCD4	41.722196	40.60859	27.196901	32.978948	28.302441	46.94387	38.074244	37.549237	26.316051	23.161891	24.336227	20.601913	34.444335	36.567485	51.361176	37.339512	47.791994
ABCE1	38.406432	62.528454	90.785639	140.903142	81.481384	66.054434	108.907923	109.633736	30.898113	91.498837	93.911996	103.758262	45.405224	73.817163	50.641554	128.486465	57.944665
ABCF1	243.017921	115.875682	79.069751	92.868492	58.17276	93.355098	294.057498	186.192632	65.31241	174.381047	112.244119	127.115919	125.952107	118.108103	67.960361	126.451053	95.53186
