Mixture	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells	P-value	Correlation	RMSE
SimData1013	0.10503721829283094	0.18890801468018470	0.18007272789281012	0.00000000000000000	0.40932564586101794	0.11665639327315624	0.00000000000000000	0.77159597487231613	0.67522856681197008
SimData1014	0.10380056163675121	0.18447869724522392	0.15924086416480485	0.00000000000000000	0.42823917573370973	0.12424070121951038	0.00000000000000000	0.76354519761121831	0.68255520216178311
SimData1015	0.11402265178516094	0.17504679735811859	0.16333250641325822	0.00000000000000000	0.42073756077633007	0.12686048366713215	0.00000000000000000	0.76620726005856699	0.68534763772371454
SimData1016	0.11124553216803702	0.18187357842678628	0.15349019443428727	0.00000000000000000	0.43197590660643409	0.12141478836445521	0.00000000000000000	0.76990234477567221	0.67861124025253727
SimData1017	0.12588137791514636	0.23429273936449863	0.06734382108064008	0.00000000000000000	0.43525781959844767	0.13722424204126718	0.00000000000000000	0.68907897840146015	0.72714994371394781
SimData1018	0.14557127797725139	0.18654676448896315	0.13378332151142058	0.00000000000000000	0.42191364169112544	0.11218499433123952	0.00000000000000000	0.57158049942765854	0.82076886160094709
SimData1019	0.17043520497125253	0.19711342939727436	0.03759566607681113	0.00000000000000000	0.46788467677218887	0.12697102278247316	0.00000000000000000	0.31472027579037881	0.98408933696869927
SimData102	0.00000000000000000	0.01262825594888328	0.55118901731956649	0.29941119346053319	0.13677153327101696	0.00000000000000000	0.00000000000000000	-0.01117510325246796	1.04584253450091547
SimData1020	0.00000000000000000	0.12547371599558979	0.43220385290503338	0.44232243109937686	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00037675524443230	1.10741741407435490
SimData1021	0.11236447417809252	0.39225467073255066	0.00659368090472584	0.00000000000000000	0.21533820329091924	0.27344897089371184	0.00000000000000000	0.74851832217967706	0.68364934328472504
SimData1022	0.13482628579998257	0.37131635062515583	0.02771053473247136	0.00000000000000000	0.19383561818836523	0.27231121065402492	0.00000000000000000	0.73694004840157845	0.69074777213645866
SimData1023	0.08189290337752927	0.40334920423496751	0.00000000000000000	0.00000000000000000	0.23615409909283994	0.27860379329466328	0.00000000000000000	0.76210926282902813	0.66979712027425531
SimData1024	0.08891059929734282	0.39020635096344070	0.00000000000000000	0.00000000000000000	0.22503300973631207	0.29585004000290455	0.00000000000000000	0.75905525836146159	0.66942096465426015
SimData1025	0.08676504600006250	0.40579417863829065	0.00000000000000000	0.00000000000000000	0.21269867477517615	0.29474210058647071	0.00000000000000000	0.74365522312404198	0.69730402928271207
SimData1026	0.13324730497178866	0.40176765275278914	0.00000000000000000	0.00000000000000000	0.19526117380766719	0.26972386846775498	0.00000000000000000	0.74408104054360757	0.69415458190203294
SimData1027	0.06794420646095764	0.43350843707082054	0.00000000000000000	0.00000000000000000	0.23615628237746220	0.26239107409075968	0.00000000000000000	0.75314527982241941	0.69693504746884838
SimData1028	0.15533656926319522	0.38690922042444642	0.00000000000000000	0.00000000000000000	0.19703767329999361	0.26071653701236475	0.00000000000000000	0.74898672169392433	0.68092088861034217
SimData1029	0.14118650663915336	0.38554028084614062	0.00000000000000000	0.00000000000000000	0.19104157540502409	0.28223163710968197	0.00000000000000000	0.73689560407209953	0.69716076323910414
SimData103	0.00000000000000000	0.45922757939474085	0.26473249818625832	0.00342386148164026	0.19778463773659596	0.07483142320076468	0.00000000000000000	0.90696649888655445	0.43310978188253563
SimData1030	0.08982156311928689	0.40464017022107662	0.00000000000000000	0.00000000000000000	0.22810079534530725	0.27743747131432933	0.00000000000000000	0.72964990267192853	0.71424280599518009
SimData1031	0.12933870386651439	0.37566316128744337	0.00000000000000000	0.00000000000000000	0.21215178893173106	0.28284634591431118	0.00000000000000000	0.71448256304603974	0.72104545820421018
