NAME	Malignant	Endothelial cells	CAF	T cells CD8	NK cells	Macrophages	T cells CD4	B cells
AGPAT1	94.2733417538592	50.0861554852087	47.5562193852369	1	1	1	1	1
AICDA	1	1	1	15.3901318862708	1	1	12.5450658446175	27.9843413436761
AIF1	1	1	1	1	1	1830.9554135431	1	1
AIF1L	57.0373228522771	1	1	1	1	1	1	1
AIG1	1	134.325469534854	29.7798100300708	1	1	35.7313136805732	1	1
AIM1	1	1	1	40.7658073417019	21.6028946672301	1	52.6743999329752	40.341546481059
AIM2	25.4594129088209	1	1	1	1	61.6147724581901	1	161.38987650584
AIMP2	88.7962508691691	1	52.5345930624297	1	1	130.256232263483	1	1
AKAP10	1	1	1	1	4.60632895095335	29.6463443573332	1	34.2485042829864
AKAP12	18.7403342914006	440.773665332352	84.8652522529053	1	1	1	1	1
AKAP2	16.8413087831042	60.0967885974544	85.8234684671087	1	1	1	1	116.086549481805
AKNA	1	1	1	129.307779172175	91.3196633515295	1	103.098449196417	71.3728369662911
AKR1C3	1	302.768105989015	101.261607499064	1	1	1	1	1
AKT3	77.5185731749482	14.4908511796076	26.5296569964868	1	1	1	1	1
AKTIP	1	1	37.80761407813	1	1	1	65.4565652583794	1
ALCAM	1	1	200.567165980874	1	1	18.2910588978235	1	27.6140768770988
ALDH1A1	127.648942524848	342.506427240195	1	1	1	186.107874591045	1	1
ALDH1A2	1	48.5113834382732	1	1	1	1	1	1
ALDH1A3	33.0294431415625	71.5344985380016	1	1	1	1	1	1
ALDH2	1	189.31404077072	30.901354660487	1	1	291.964987062329	1	1
ALDH3A2	37.3463071686493	130.498180049867	34.5707150735971	1	198.498286746507	27.56287925951	1	1
ALDH3B2	35.6272200952381	1	1	1	1	1	1	1
ALDOC	53.5911356699349	1	1	1	1	55.6626710992676	93.2424656921222	1
ALG14	49.1725556714071	1	40.9308510168006	1	1	1	1	1
ALG3	179.81148900991	78.8420294841029	88.6233357266453	1	1	23.0870123061407	1	1
ALKBH2	39.3884291490734	1	1	1	1	1	1	1
ALOX5	1	76.267517738282	1	1	1	166.052627118709	1	185.109808884209
ALOX5AP	1	1	1	449.872046686864	347.854137916407	301.620315193412	276.659351730799	232.717093860579
ALPL	1	1	102.368281206918	1	1	1	1	1
ALX1	57.3195344187962	1	1	1	1	1	1	1
AMBRA1	1	1	1	1	41.0542177498469	1	33.1714825998105	1
AMICA1	1	1	1	174.045022523458	1	178.830275374225	70.720511795578	1
AMOTL2	19.2428192878845	1	100.453219965564	1	1	1	1	1
AMPD3	1	1	1	1	1	1	1	37.611626514792
ANAPC1	1	1	1	1	25.1838692417761	1	1	1
ANGPT2	1	369.986615174819	1	1	1	1	1	1
ANGPTL2	1	29.1316013380541	54.8772619100355	1	1	1	1	1
ANGPTL4	1	1	462.80236404721	1	1	1	1	1
ANGPTL7	71.7017907989703	1	1	1	1	1	1	1
ANKFY1	1	16.6605419140217	1	1	1	1	1	41.7762813276029
ANKLE2	1	50.9168103899797	11.2386936673434	1	1	1	1	40.8302566146667
ANKRA2	1	1	39.1610609445115	1	1	48.5036488772207	61.1150213022572	1
ANKRD1	1	1	110.86782721587	1	1	1	1	1
ANKRD13A	1	61.3205148744989	1	1	1	1	1	1
ANKRD20A12P	1	93.2165805327916	1	1	1	1	1	1
ANKRD22	1	1	1	1	1	28.1480796234794	1	1
ANKRD28	75.608599327063	1	19.6734262078852	1	1	1	1	1
ANKRD30BL	19.1138570652328	1	1	1	1	1	1	72.5444047935937
ANKRD32	1	1	1	22.4210107646003	1	1	1	1
ANKRD36BP2	1	55.1110480135185	1	1	1	1	1	1
ANKRD37	53.7959070457381	1	1	1	1	1	1	1
ANKRD49	1	1	1	1	1	1	1	53.3075566229545
ANKRD54	109.372449718204	1	47.9890176187248	1	80.8358335967963	1	1	1
ANLN	1	1	57.2570805994049	1	1	1	1	1
ANO9	1	30.7946574400331	1	1	1	1	46.103467832721	1
ANPEP	1	34.6510306500873	194.562032122705	1	1	1	1	1
ANTXR1	1	1	69.9907589259902	1	1	1	1	1
ANTXR2	1	39.3187616168047	57.8963448919226	1	1	1	1	50.1642798025258
ANXA2R	1	1	1	69.3777336671445	1	1	76.9789614225548	49.503645578228
AOAH	1	1	1	199.473334756936	355.509129047317	184.275276935137	85.486196395236	1
AP4B1	1	1	1	62.7161943596584	1	41.181427101726	1	1
APBA2	1	1	1	1	53.8422270649961	1	1	1
APBB3	24.2277989043382	1	1	1	1	66.8436487823267	1	1
APOBEC3B	1	1	56.804059638877	1	1	1	1	1
APOBEC3G	1	1	1	547.981010611712	619.102614236872	45.5932114722023	254.735598981111	64.3910487569975
APOC1	1	1	1	1	1	3134.33588451415	1	1
APOC2	108.772264949451	1	1	1	1	211.391876751367	1	1
APOD	4295.93849173109	183.870166508783	154.931772627912	1	311.734904480484	148.12329147681	1	1
APOE	130.114746150595	1	1	1	1	2342.8631975483	1	1
APOLD1	1	60.5721338220736	1	1	1	1	1	1
APOO	57.0915778556228	1	1	1	1	1	1	1
APP	337.396494369309	1237.15932065233	259.057915765254	1	1	29.9173869696588	1	1
APTX	24.983297052436	42.5881617181552	48.1713786600331	1	124.988014097073	60.1126859698235	1	1
AQP3	1	1	1	1	1	1	110.623531198267	1
ARAP2	1	1	1	53.7599476530212	40.1140204021115	1	49.3876188720924	1
AREG	1	1	1	1	494.064184398359	1	1	1
ARG2	1	62.3896752465825	1	1	1	1	1	1
ARHGAP15	1	1	1	360.542999988696	340.206021536227	62.7323800201537	392.4460170786	298.053830135822
ARHGAP17	1	54.9089983776541	44.0814011243221	1	1	37.5539778288062	1	79.6494986578779
ARHGAP24	1	1	21.8821724686587	1	1	1	1	57.044333922964
ARHGAP25	1	1	1	182.260809314135	331.467278672925	64.7505533861789	145.804652096324	199.214896076683
ARHGAP26	1	1	1	1	27.1893109239538	1	1	1
ARHGAP27	1	1	1	38.0227074208756	202.244122953412	41.4423192668064	1	1
ARHGAP29	1	108.818384791571	1	1	1	1	1	1
ARHGAP30	1	1	1	184.824791373879	443.747004277516	62.907203634457	198.119787809405	100.757784245818
ARHGAP9	1	1	1	306.00517846971	383.789205229185	62.8643997767834	229.039512424975	143.750855847556
ARHGDIB	1	1	1	2304.89504404805	3160.25368146923	1295.39085043956	2599.18686544138	1504.74587725369
ARHGEF10L	1	1	1	1	1	31.412235087064	1	1
ARHGEF18	1	1	1	1	1	1	1	68.0064122062329
ARHGEF2	27.2816502718891	1	1	1	1	1	1	41.0614822243307
ARHGEF3	1	1	1	135.090730621475	117.813964110146	25.5784747377489	107.621387985858	1
ARID1B	1	19.8058867950969	1	1	1	1	1	28.623437205851
ARID2	1	1	1	40.4715302322964	10.8875391020331	1	30.8345867993553	1
ARID3B	1	1	1	1	22.0739834836195	1	1	1
ARID5A	1	1	1	202.979785034863	532.062427741604	89.7327010955266	171.239961756266	1
ARL11	1	1	1	1	1	21.5744895876121	1	23.4138543447263
ARL15	1	69.1288926774453	1	1	1	1	1	1
ARL17B	1	1	21.4663329195901	1	1	30.4936210944249	1	1
ARL4C	1	1	1	88.3574582125857	262.564378970068	34.9528286553559	100.884412042039	1
ARL4D	1	1	36.6858492649598	1	1	1	1	1
ARL5A	20.4343994771932	1	23.6680017619958	1	1	38.7444425315473	1	48.6375483876991
ARMC6	39.8233803044472	1	45.8295712601394	1	178.588116155452	1	1	1
ARMC9	60.6301618338855	1	43.9994698501747	1	1	1	1	1
ARMCX2	35.7166483515506	1	90.0718751709816	1	1	1	1	1
ARMCX5	25.381073258861	1	1	1	1	1	1	1
ARNTL	1	1	1	1	101.747853088615	1	56.3234192936236	1
ARRB2	1	1	1	30.8884000406235	25.8252694268005	71.5986197730576	1	1
ART4	1	125.127493760494	1	1	1	1	1	1
ARV1	83.0942905135601	63.463800178956	24.7850833361956	1	1	1	1	1
ASB2	1	1	1	1	1	1	58.701862271707	1
ASCC1	16.9028092121328	17.4601921574047	12.9478395268917	50.6959533174036	1	1	1	1
ASF1A	1	1	24.380583144342	115.338372403005	1	1	83.3774203857141	1
ASF1B	1	1	61.4630225989065	1	1	1	1	1
ASGR1	1	47.5271448456899	1	1	1	1	1	1
ASNS	1	1	61.6283497671242	1	1	1	1	1
ASPH	138.690255689898	103.183605848174	269.881786029969	1	1	60.049382242642	1	1
ASPN	1	1	72.3855285315881	1	1	1	1	1
ASS1	1	103.407808137536	26.3083944407987	1	1	1	1	1
ASUN	42.2961273158521	1	29.4101363148109	1	1	1	1	1
ASXL2	1	1	1	38.4004474379262	1	1	1	1
ATAD2B	1	1	1	1	1	1	36.7081964938942	1
ATE1	1	1	1	1	1	1	1	58.0032759789831
ATF3	1	1	45.1951209683232	1	1	45.0130903812095	1	1
ATF5	1	1	1	1	1	43.8791786491506	1	1
ATG13	27.8637452673264	1	27.1915119967805	36.1432023677451	1	1	1	1
ATG16L1	1	1	9.03152863517379	1	1	1	44.6760993652605	1
ATG16L2	1	1	1	1	1	70.2382670410611	1	49.8110612747305
ATG4A	1	1	35.8228755761648	1	1	1	1	1
ATG4C	1	1	1	1	1	36.3089427074664	1	1
ATHL1	1	23.3165293052772	1	75.0751015003301	18.4310767990882	1	98.4796876059701	1
ATN1	1	17.3550892425345	21.1069919611422	1	28.4370735742851	1	1	1
ATP13A2	1	54.712886228456	1	1	1	1	1	1
ATP1B1	41.8814804481671	1	37.2618012101596	1	1	78.3801188611884	1	1
ATP2A3	1	1	1	51.4267154687268	35.6486150797533	1	69.1603007344078	92.0886920757101
ATP6V0E2	49.4057428649836	1	1	115.250519769844	1	29.8345801313791	114.697131271177	1
ATP8A1	1	1	1	1	28.4137625234479	1	1	1
ATP8B2	1	1	1	25.3080563071793	1	1	1	1
ATP9B	1	1	1	1	41.5484846042279	1	27.4528785044938	29.0107623009791
ATPAF2	22.0354181560855	1	1	1	1	1	1	31.7417518394281
ATXN1	1	1	1	27.6905395162815	1	1	1	1
ATXN7	1	1	1	43.5195122695408	12.7065924496932	1	50.7006835462098	1
AVPI1	94.5368600344841	1	36.8213471578781	1	1	1	1	1
AXL	1	1	438.333514434945	16.5628851655869	13.036275294071	259.054950276565	24.3463547311943	13.6649681196848
AZGP1	43.3821777536483	1	1	1	1	1	1	1
B3GALT4	1	1	1	1	1	38.1529541898364	1	1
B3GNT2	29.5279111957671	27.2617131561739	18.9236884056207	88.63465651334	1	1	1	1
B3GNT6	1	1	1	1	1	1	1	13.5842366014634
B3GNT7	1	97.1802664844777	1	1	176.210791096106	35.7681981755228	1	1
B4GALT4	51.649887839092	1	74.0098920651938	1	1	1	1	1
BAAT	34.5937603944747	1	1	1	1	1	1	1
BACE2	79.9286026519125	186.154972908031	1	1	1	1	1	42.4441365175624
BACH2	1	1	1	1	1	1	1	20.1955646575263
BAG1	1	1	1	1	1	28.0744313904016	1	1
BAG2	1	1	58.6996810964756	1	1	1	1	1
BAG5	1	28.1496551935992	23.8555996881761	1	1	1	1	35.9018572658034
BAMBI	117.094438273905	1	23.0563261612825	1	1	1	1	1
BANCR	144.881127724456	1	1	1	1	1	1	1
BANK1	1	1	1	1	1	1	1	676.68088545827
BATF	1	38.5899950494625	1	213.300448529423	209.144660538042	1	266.225064429747	1
BBIP1	1	1	23.205293292688	1	1	1	32.8982006995302	1
BCAN	170.517712222423	1	1	1	1	1	1	1
BCAR1	1	87.9355171965202	20.8334482297691	1	1	1	1	1
BCAS3	51.3547270122897	1	1	1	1	1	1	1
BCAS4	1	1	1	57.3567977095538	44.0191866664771	1	1	62.3867102337142
BCAT1	1	1	68.357021814546	1	1	30.7294942277264	1	1
BCHE	74.1113108384655	1	1	1	1	1	1	1
BCL11A	1	1	1	1	1	1	1	168.295396772548
BCL11B	1	1	1	71.8595132427334	1	1	59.3355434481562	1
BCL2	1	1	1	39.5023704008127	1	1	1	39.0402759284236
BCL2A1	139.512137251154	1	1	1	169.434205207158	114.039861334294	1	41.1026814417379
BCL6	1	1	1	1	32.8166714570828	47.8130859220333	53.7385502533773	65.1594691106565
BCL7B	20.3865039015267	1	57.5865620081437	1	114.571644398639	44.3517377108756	1	1
BCOR	1	1	1	29.6484683852093	1	1	1	1
BCR	1	52.948366686754	1	1	1	1	1	1
BCS1L	38.3907162588697	1	22.6814675301837	1	1	62.9126047075014	1	1
BDKRB1	1	1	113.908848712096	1	1	1	1	1
BEST1	32.932320849354	1	1	1	1	1	1	1
BET1	39.2888353763272	1	19.3679515298548	1	1	1	1	1
BGN	1	502.768184692328	744.397369954755	1	1	1	1	1
BHLHE41	1	1	1	1	1	26.9785469938258	1	1
BIN2	1	1	1	198.612795243518	478.126625016983	82.9696249917298	261.20232957093	89.5137869956285
BIN3	146.158205736114	1	33.0539949457009	1	1	1	1	1
BIRC3	1	1	1	66.6441736494603	11.7647234039804	1	98.6560433615011	133.998840405382
BIRC5	1	1	49.5534120011043	1	1	1	1	1
BIRC7	181.493004735391	1	1	1	1	1	1	1
BLK	1	1	1	1	1	1	1	203.384074120379
BLNK	1	1	1	1	1	94.4955210481682	1	228.393597909388
BLVRB	224.900226165013	127.201067515543	151.526712696399	1	1	410.074082217808	1	1
BMPR2	1	57.5588394104336	24.0014634863782	1	1	1	1	1
BMS1P4	1	29.8534207260023	1	38.5009816029763	1	1	1	1
BMX	89.4374995497446	128.394687015117	1	1	1	1	1	1
BOK	1	34.2995280331979	62.4750177588933	1	1	1	1	1
BOLA1	50.9230710258745	1	1	1	1	1	1	1
BOLA2	28.5498086051958	1	24.293703603441	35.9938445527363	1	1	1	1
BOLA2B	28.5498086051958	1	24.293703603441	35.9938445527363	1	1	1	1
BPGM	28.7408697910295	1	114.450577812251	1	116.119744753391	1	1	1
BRD4	1	1	1	1	71.4417824198905	1	1	22.0098434146206
BRI3	1	1	48.0624041024635	1	1	62.2454903484443	1	1
BST1	1	1	76.0714733132904	1	1	1	1	1
BTBD3	1	46.2638685360464	1	1	1	1	1	1
BTK	1	1	1	1	1	77.2530092498083	1	232.584938494164
BTLA	1	1	1	1	1	1	79.4116366446226	65.1422266985678
BTN2A2	21.4631141939991	68.4756192506348	1	1	1	25.7763264463355	1	53.4473121088873
BZRAP1	1	1	1	1	28.2759634931144	1	1	1
C10orf10	1	239.065816164302	99.6550414681706	1	1	1	1	1
C10orf11	27.081353499387	117.830537430808	1	1	1	1	1	1
C10orf128	1	1	1	1	1	31.1499059358332	1	1
C10orf90	36.3363058989702	1	1	1	1	1	1	1
C11orf1	48.8195810213706	1	19.3269638559366	1	1	1	1	1
C11orf24	143.711854153939	1	177.619120314446	1	1	34.5191630085502	1	92.8933738899377
C11orf49	66.8972502189731	37.7126678585368	24.3646986202926	1	1	1	1	1
C11orf54	1	56.1541355197942	1	1	20.2431105445833	1	1	1
C11orf74	1	96.3368107666194	30.4449673114859	1	1	1	1	1
C11orf75	1	1	26.8751933382951	1	1	92.6693658226664	76.7530157962924	1
C11orf80	1	1	1	1	1	1	1	54.585119271995
C12orf10	95.6307774030111	62.5870669483139	68.514015270106	1	1	1	116.446322373951	1
C12orf23	60.6423345716615	1	100.459818692623	1	1	1	1	1
C12orf4	1	1	1	1	1	21.2969207253643	1	1
C12orf43	1	1	22.8564466994862	42.693081977202	1	1	1	19.2300728405612
C12orf44	81.5104100959393	118.224276103556	64.1872448500523	1	504.802956754571	1	1	1
C12orf52	39.2629551750455	1	19.8722547442941	1	1	1	1	1
C12orf71	1	52.3085192627293	1	1	1	1	1	1
C12orf75	1	1	418.791623765037	131.801707758854	1	1	94.3791738260321	1
C15orf48	1	1	1	1	1	61.9693599623406	1	1
C15orf57	30.0591891859295	33.0528484541397	27.0888541686315	1	1	1	1	111.952520458218
C15orf61	23.4508021392184	1	25.2244918497866	1	46.2999483307694	1	1	1
C16orf45	1	24.7106410028615	59.0004871971837	1	1	1	1	1
C16orf54	1	1	1	243.916831059047	82.2694172308676	1	206.254187379249	55.4966833932997
C16orf80	91.4360176185008	44.8132391099663	34.8614097991049	1	1	1	1	1
C16orf87	1	1	38.5240308868757	1	1	1	54.5602599617102	1
C17orf103	1	1	1	18.6398587631538	1	1	1	1
C17orf67	1	60.8245567226713	1	1	1	1	1	1
C17orf89	103.77558308269	1	138.253557831166	88.3826287799915	183.932922453945	1	57.4482249082026	1
C18orf21	25.7025445888783	60.1335378282148	1	1	96.2060567188187	1	1	1
C18orf25	1	1	1	43.3218823811148	1	1	1	39.982672408727
C19orf35	1	1	1	1	41.186486306331	1	1	1
C19orf40	1	1	1	1	1	1	20.2762388587816	1
C1D	32.6364060139164	34.1835494616085	51.8458257722787	1	1	1	63.2755871485382	1
C1orf151.NBL1	67.3877747432569	17.5230460973397	34.4615520778831	1	1	1	1	1
C1orf162	1	1	1	1	60.6045296192886	428.00339891167	1	72.4956401858415
C1orf198	65.6690852416513	65.1961118545446	183.665449673238	1	1	1	1	1
C1orf216	40.3494753667308	1	19.1756734647016	1	1	1	1	1
C1orf220	1	1	1	1	1	1	1	26.8947217857218
C1orf229	1	1	1	1	1	1	20.3372106616163	17.5911432237624
C1orf54	1	1	84.2238760124356	1	1	277.076948912585	1	1
C1orf85	303.464355724059	73.0467588010062	111.423522279022	1	1	135.279846914479	1	1
C1QA	1	1	1	1	1	5246.7492771882	1	1
C1QB	1	1	1	1	1	10737.4416736611	1	1
C1QC	1	1	1	1	1	6518.86283774959	1	1
C1R	1	361.056794979154	886.81887043552	1	1	1	1	1
C1S	1	277.251464015796	1029.31130166073	1	1	1	1	1
C2	1	1	1	1	1	374.858229717049	1	1
C20orf194	1	1	1	1	1	25.5215078557364	1	1
C20orf27	47.0759744971852	1	71.3221254733612	1	1	61.4888383725964	1	1
C21orf91	24.3897739682615	1	1	27.9182427928378	1	1	1	1
C22orf34	1	1	1	1	1	1	1	33.7057766584116
C2orf69	28.6125578738286	1	31.9177789003226	38.4734136094351	92.3040842446485	1	1	1
C3	1	1	331.2452018232	1	1	91.5321678263462	1	1
C3AR1	1	1	1	1	1	357.783852354007	1	1
C3orf14	42.8687115217535	1	24.89461186144	1	1	1	1	1
C3orf37	41.9998705066202	1	21.1044368656911	1	1	1	1	1
C3orf38	19.3378117197468	1	17.3847285974508	1	24.6568531796076	1	1	100.143211066494
C4orf29	1	1	1	1	39.2860863425905	1	1	1
C4orf33	1	1	1	1	1	59.4778112648025	1	1
C5AR1	1	1	1	1	1	76.3762029310662	1	1
C5orf27	1	1	1	1	13.9725737999489	1	1	1
C5orf45	1	1	1	1	1	1	1	53.5895543834412
C6orf120	1	1	30.2058469887497	1	1	1	1	30.4887058731716
C6orf141	1	86.5058653904621	1	1	1	1	1	1
C6orf25	1	1	1	1	1	1	1	18.2363754415588
C7	1	60.8359138648347	1	1	1	1	1	1
C8orf76	32.0416359422027	1	35.5705817294047	53.7692045616851	1	1	1	1
C9orf66	1	1	1	1	1	23.1939433331913	1	1
C9orf72	1	1	1	1	1	47.7857949952885	1	71.5196580331984
CA12	1	1	279.032331805398	1	1	1	1	1
CA14	92.7627180113799	1	1	1	1	1	1	1
CA5BP1	32.2416112475963	1	1	1	1	1	1	1
CA8	59.984273620689	1	1	1	1	1	1	1
CADM1	80.4468920272675	1	1	1	1	44.7396292992533	1	1
CALCRL	1	205.564678967704	1	1	1	1	1	1
CALD1	59.4228303701545	162.906786735344	1023.57996859572	1	1	1	1	1
CALHM2	1	51.1924174019023	59.7841862440769	1	398.063302311531	33.0659363622223	1	1
CAMK1	1	1	48.5711686491271	1	1	1	1	1
CAMK2G	1	20.669874652259	30.4596284790908	1	1	1	1	32.2419039305839
CAMK4	1	1	1	94.4046258087559	1	1	52.9175845664618	1
CAMKK2	14.8626125026553	111.23458382127	22.4781288308016	1	1	1	1	1
CAPG	1331.35785424971	92.8448382616585	90.6584754668635	1	1	926.466351803237	1	150.798241391022
CAPN12	1	1	1	1	42.3078405986681	1	1	1
CAPN3	839.767897991395	1	1	1	1	44.163415654691	1	1
CAPN7	22.6873622505382	1	1	36.3092844447401	1	1	1	1
CARD11	1	1	1	1	1	1	1	32.0318796842031
CARD9	1	1	1	1	1	39.5564899252941	1	1
CASP7	1	47.9374994886436	1	1	1	1	1	1
CASP9	1	1	1	1	1	17.4253416110767	1	1
CAV1	156.018336527133	533.633127437425	480.191631176629	1	1	1	1	1
CAV2	42.9363199461545	181.956669735762	79.2364898650725	1	1	1	11.9857563553434	1
CBR1	387.826121234658	1	205.997858138145	1	388.39018437116	189.75362727384	1	1
CBR3	72.3939226266666	1	106.310310430601	1	1	1	1	1
CBS	1	1	48.1243910398357	1	1	1	1	1
CBWD2	24.9641722218756	1	18.6078346090737	1	1	1	1	64.6920207029234
CCBP2	1	349.22858462307	10.1177742421292	10.9514105770757	1	1	12.8498081166698	12.8899989454913
CCDC101	1	1	25.5280905882588	1	1	1	1	76.5083045613556
CCDC130	42.6898834745259	34.9079403522571	31.0579604044085	50.239657242049	193.825311445466	1	54.4814557924946	1
CCDC141	1	1	1	1	84.7558769836221	1	1	1
CCDC167	75.3610734429036	1	19.5955850471542	110.263636440422	204.462936806055	1	153.322231901691	1
CCDC28A	1	1	1	1	1	56.6940930100752	69.5172266062155	1
CCDC28B	39.7305188758982	1	1	1	1	1	1	1
CCDC51	64.0670740633428	1	1	1	1	1	1	1
CCDC58	37.5503930698622	1	48.4316760098525	54.5165446496564	1	1	1	1
CCDC64	1	1	1	38.3890727685177	1	1	1	1
CCDC74A	1	1	47.1671152816299	1	1	1	1	1
CCDC80	1	93.5748156494312	334.450724515257	1	1	1	1	1
CCDC84	1	1	17.9112450833146	36.6340149701181	1	1	46.9304487918949	1
CCDC91	27.3904471110658	1	12.1846058823818	1	1	1	38.9328194684496	1
CCDC93	1	1	17.9708750207915	1	33.7730657469326	1	1	1
CCDC97	1	1	1	1	1	1	43.5982468907997	37.4943786160079
CCL14	1	2602.81266683486	1	1	1	1	1	1
CCL2	1	432.302646754805	41.2673633974352	1	1	210.944143847357	1	1
CCL21	1	17383.6008867473	1	1	1	1	1	1
CCL3	1	1	1	691.289972215477	2978.09425771929	1128.83744061168	1	1
CCL3L3	1	1	1	79.8271314237997	293.409690867002	146.398394517479	1	1
CCL4	1	1	1	3453.49045333648	5404.34261254967	440.850046293667	1742.45421104501	1
CCL4L1	1	1	1	649.844426993008	378.286465670056	30.4442179208259	334.928527482535	1
CCL4L2	1	1	1	649.844426993008	378.286465670056	30.4442179208259	334.928527482535	1
CCL5	93.8436943214288	79.552207606826	34.2778510263628	6750.84646472007	5861.69069883418	98.1259257705763	1844.36153419107	395.7382393743
CCL8	1	1	1	1	1	45.0741738262974	1	1
CCNA2	1	1	92.4286192536481	1	1	1	1	1
CCNB1	1	1	50.5482398951568	1	1	1	1	1
CCNB1IP1	53.9938918531596	1	22.473438019572	1	1	1	1	98.9440728983062
CCND1	104.258041223042	149.141510854997	413.524954040614	1	1	61.2244265273142	1	1
CCND2	1	17.4427605804406	1	131.877021846872	182.840862474845	1	89.3543235104621	39.8800564399906
CCNT1	1	1	1	1	38.4763163601894	1	1	1
CCP110	1	1	19.7231947988706	1	56.4171487697227	1	1	1
CCR1	1	1	1	82.0860461987299	1	138.538154135022	1	1
CCR5	1	1	1	189.99891789155	107.051978608486	25.7276436442419	99.7102889544114	1
CCR6	1	1	1	15.1216922778414	9.91706264630755	1	30.3139964925071	146.136700547082
